Scopus refine results values

"Your query : (AFFILCOUNTRY(Japan AND Viet*) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( EXCLUDE ( PUBYEAR,2025) OR EXCLUDE ( PUBYEAR,2026) ) )"


Number of results : 9982

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","5013","2024","861","Hay, S.I.","150","Medicine","2109","Article","9982","final","9982","Scientific Reports","133","Article","3240","Vietnam Academy of Science and Technology","1160","Japan Society for the Promotion of Science","2876","Japan","9982","Journal","9982","English","9958"
"Gold","3133","2023","910","Mokdad, A.H.","144","Agricultural and Biological Sciences","1945",,,,,"Plos One","120","Human","2347","Vietnam National University, Hanoi","1008","Ministry of Education, Culture, Sports, Science and Technology","830","Viet Nam","9982",,,"Japanese","17"
"Hybrid Gold","550","2022","1009","Yonemoto, N.","141","Engineering","1693",,,,,"Journal of the Faculty of Agriculture Kyushu University","100","Viet Nam","1953","The University of Tokyo","839","National Foundation for Science and Technology Development","678","United States","1377",,,"French","7"
"Bronze","747","2021","1030","Huy, N.T.","136","Environmental Science","1517",,,,,"IEEE Access","87","Humans","1894","Hanoi University of Science and Technology","795","Japan Science and Technology Agency","280","China","1328",,,"Russian","3"
"Green","3269","2020","1055","Fischer, F.","134","Physics and Astronomy","1365",,,,,"Science of the Total Environment","77","Vietnam","1569","Viet Nam National University Ho Chi Minh City","661","National Natural Science Foundation of China","252","South Korea","1054",,,"Spanish","2"
,,"2019","785","Bui, T.Q.","133","Biochemistry, Genetics and Molecular Biology","1308",,,,,"Lancet","75","Controlled Study","1548","Kyoto University","648","Japan Agency for Medical Research and Development","251","United Kingdom","980",,,"Chinese","1"
,,"2018","617","Jonas, J.B.","127","Materials Science","1182",,,,,"Applied Sciences Switzerland","57","Female","1480","Duy Tan University","636","Japan International Cooperation Agency","207","Australia","949",,,"Korean","1"
,,"2017","538","Mohammed, S.","117","Chemistry","923",,,,,"Journal of Veterinary Medical Science","55","Male","1454","Kyushu University","537","National Institutes of Health","192","Thailand","870",,,"Malay","1"
,,"2016","439","Shaikh, M.A.","116","Computer Science","898",,,,,"Sustainability Switzerland","52","Nonhuman","1264","Nagasaki University","528","European Commission","189","India","808",,,"Portuguese","1"
,,"2015","349","Olagunju, A.T.","115","Immunology and Microbiology","717",,,,,"Chemosphere","50","Adult","1128","Institute of Science Tokyo","462","National Science Foundation","183","Germany","796",,,,
