id	organization	documents	citations	total link strength
2460	"department of astrophysics, vietnam academy of science and technology, hanoi, viet nam"	15	336	188
2474	"department of bacteriology i, national institute of infectious diseases, tokyo, japan"	16	253	24
2483	"department of bacteriology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam"	23	383	57
2484	"department of bacteriology, national institute of hygiene and epidemiology, hanoi, viet nam"	14	125	26
2521	"department of biochemistry and molecular biology, gazipur agricultural university, gazipur, bangladesh"	16	1325	47
2574	"department of bioinformatics and genomics, kanazawa university, kanazawa, japan"	15	78	98
2608	"department of biological sciences, national university of singapore, singapore city, singapore"	11	469	27
2616	"department of biological sciences, tokyo metropolitan university, hachioji, japan"	31	261	42
2640	"department of biology, can tho university, can tho, viet nam"	15	203	15
2643	"department of biology, chiba university, chiba, japan"	11	220	25
2765	"department of biomolecular engineering, kyoto institute of technology, kyoto, japan"	13	188	22
2782	"department of bioresource sciences, kyushu university, fukuoka, japan"	10	46	8
2790	"department of bioscience and biotechnology, kyushu university, fukuoka, japan"	18	390	14
2859	"department of botany and microbiology, college of sciences, riyadh, saudi arabia"	11	810	11
2867	"department of botany, faculty of science, aswan, egypt"	18	1185	61
2897	"department of business and it, university of south-eastern norway, kongsberg, norway"	20	2179	65
2928	"department of cardiology, national heart centre singapore, singapore city, singapore"	10	171	27
3024	"department of chemical engineering, hanoi university of science and technology, hanoi, viet nam"	22	350	49
3025	"department of chemical engineering, institut teknologi bandung, bandung, indonesia"	15	289	22
3088	"department of chemistry, can tho university, can tho, viet nam"	17	161	19
3090	"department of chemistry, chulalongkorn university, bangkok, thailand"	11	120	21
3140	"department of chemistry, thammasat university, pathum thani, thailand"	15	357	14
3191	"department of civil & environmental engineering, hiroshima university, higashihiroshima, japan"	31	861	36
3192	"department of civil & environmental engineering, institute of science tokyo, tokyo, japan"	134	5551	269
3200	"department of civil & environmental engineering, nagaoka university of technology, nagaoka, japan"	53	2965	112
3215	"department of civil & environmental engineering, tokyo metropolitan university, hachioji, japan"	14	523	3
3221	"department of civil & environmental engineering, waseda university, tokyo, japan"	10	178	12
3240	"department of civil engineering, chulalongkorn university, bangkok, thailand"	21	404	27
3300	"department of civil engineering, the university of tokyo, tokyo, japan"	21	695	15
3301	"department of civil engineering, thuyloi university, hanoi, viet nam"	11	541	11
3302	"department of civil engineering, tohoku university, sendai, japan"	10	178	5
3310	"department of civil engineering, university of danang, da nang, viet nam"	18	120	17
3323	"department of civil engineering, yokohama national university, yokohama, japan"	13	386	17
3360	"department of clinical medicine, nagasaki university, nagasaki, japan"	27	989	83
3397	"department of clinical product development, nagasaki university, nagasaki, japan"	42	1229	193
3421	"department of community and global health, graduate school of medicine, tokyo, japan"	12	114	18
3448	"department of computer and network engineering, the university of electro-communications, chofu, japan"	18	189	6
3549	"department of crop sciences, can tho university, can tho, viet nam"	11	207	9
3585	"department of dermatology and venereology, hanoi medical university, hanoi, viet nam"	11	175	10
3621	"department of design of machinery and robot, hanoi university of science and technology, hanoi, viet nam"	10	171	11
3626	"department of development technology, hiroshima university, higashihiroshima, japan"	14	313	18
3631	"department of developmental medical sciences, graduate school of medicine, tokyo, japan"	22	666	28
3660	"department of disease control, graduate school of veterinary medicine, sapporo, japan"	16	307	48
3693	"department of earth science education, seoul national university, seoul, south korea"	11	299	175
3709	"department of earth sciences, yamaguchi university, yamaguchi, japan"	10	505	7
3775	"department of electrical and electronic engineering, institute of science tokyo, tokyo, japan"	18	810	51
3795	"department of electrical and electronic information engineering, toyohashi university of technology, toyohashi, japan"	10	602	17
3803	"department of electrical engineering and information systems, the university of tokyo, tokyo, japan"	14	305	36
3813	"department of electrical engineering, hanoi university of science and technology, hanoi, viet nam"	13	130	13
3826	"department of electrical engineering, shibaura institute of technology, tokyo, japan"	18	216	20
3842	"department of electrical, gifu university, gifu, japan"	11	155	11
3933	"department of endoscopy, cho ray hospital, ho chi minh city, viet nam"	19	436	29
3974	"department of engineering mechanics, hohai university, nanjing, china"	52	2691	138
4028	"department of environment and energy systems, shizuoka university, shizuoka, japan"	10	124	7
4053	"department of environmental and preventive medicine, oita university faculty of medicine, yufu, japan"	27	771	38
4078	"department of environmental engineering, daegu university, gyeongsan, south korea"	11	878	17
4089	"department of environmental engineering, kyoto university, kyoto, japan"	10	442	22
4125	"department of environmental health, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	12	347	31
4161	"department of environmental sciences, can tho university, can tho, viet nam"	15	98	19
4173	"department of environmental sciences, okayama university, okayama, japan"	10	252	14
4195	"department of environmental technology and management, hanoi university of civil engineering, hanoi, viet nam"	12	274	16
4209	"department of epidemiology and prevention, national center for global health and medicine, tokyo, japan"	22	442	48
4212	"department of epidemiology and public health, kanazawa medical university, kahoku, japan"	31	541	68
4300	"department of food and nutrition, japan women's university, tokyo, japan"	15	527	12
4304	"department of food and post-harvest technology, hanoi university of science and technology, hanoi, viet nam"	11	706	1
4341	"department of food technology, can tho university, can tho, viet nam"	10	44	11
4345	"department of food technology, tien giang university, my tho city, viet nam"	10	134	11
4376	"department of forest vegetation, forestry and forest products research institute, tsukuba, japan"	11	245	28
4385	"department of functional chemistry, kyoto institute of technology, kyoto, japan"	14	61	17
4553	"department of geography, tokyo metropolitan university, hachioji, japan"	13	519	5
4856	"department of immunogenetics, nagasaki university, nagasaki, japan"	56	1904	247
4886	"department of immunology, vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam"	10	554	8
4919	"department of infectious disease epidemiology, london school of hygiene & tropical medicine, london, united kingdom"	14	325	37
4928	"department of infectious diseases, bach mai hospital, hanoi, viet nam"	12	212	61
4942	"department of infectious diseases, nagasaki university, nagasaki, japan"	35	458	105
4944	"department of infectious diseases, national center for global health and medicine, tokyo, japan"	12	443	29
4959	"department of infectious diseases, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	10	86	39
4960	"department of infectious diseases, university of miyazaki faculty of medicine, miyazaki, japan"	13	229	33
5155	"department of internal medicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	33	356	56
5168	"department of internal medicine, yonsei university college of medicine, seoul, south korea"	30	414	492
5290	"department of machinery and control systems, shibaura institute of technology, tokyo, japan"	10	114	9
5329	"department of marine sciences and convergent technology, hanyang university erica campus, ansan, south korea"	10	1166	14
5364	"department of materials science and engineering, institute of science tokyo, tokyo, japan"	22	413	16
5372	"department of materials science and engineering, nagoya institute of technology, nagoya, japan"	20	923	49
5387	"department of materials science and technology, nagaoka university of technology, nagaoka, japan"	35	321	34
5389	"department of materials science, kyushu institute of technology, kitakyushu, japan"	10	364	6
5396	"department of materials science, university of tsukuba, tsukuba, japan"	12	538	15
5475	"department of mathematics, meiji university, tokyo, japan"	21	205	8
5510	"department of mathematics, vietnam national university, hanoi, hanoi, viet nam"	10	228	0
5529	"department of mechanical engineering and science, kyoto university, kyoto, japan"	17	307	26
5556	"department of mechanical engineering, nagaoka university of technology, nagaoka, japan"	26	323	22
5573	"department of mechanical engineering, the university of osaka, suita, japan"	25	121	33
5777	"department of medicine, siriraj hospital, bangkok, thailand"	11	404	9
5797	"department of medicine, universiti malaya, kuala lumpur, malaysia"	11	193	36
5849	"department of microbiology and immunology, pasteur institute in ho chi minh city, ho chi minh city, viet nam"	17	267	61
5856	"department of microbiology and immunology, the university of tokyo, tokyo, japan"	35	2649	120
5924	"department of microbiology, osaka institute of public health, osaka, japan"	11	111	22
5974	"department of molecular and environmental biotechnology, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	12	185	15
5976	"department of molecular and material sciences, kyushu university, fukuoka, japan"	10	407	32
6026	"department of molecular pathology, oita university faculty of medicine, yufu, japan"	13	354	21
6049	"department of nanotechnology for sustainable energy, kwansei gakuin university, nishinomiya, japan"	18	281	30
6164	"department of non-communicable disease control and nutrition, nha trang pasteur institute, khanh hoa province, viet nam"	11	46	35
6187	"department of nursing, komatsu university, komatsu, japan"	19	86	118
6276	"department of occupational health, hanoi medical university, hanoi, viet nam"	12	100	22
6488	"department of parasitology, vietnam national university of agriculture, hanoi, viet nam"	10	77	25
6489	"department of parasitology, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam"	17	302	17
6491	"department of pathobiological sciences, university of wisconsin school of veterinary medicine, madison, united states"	28	1738	88
6492	"department of pathobiological sciences, university of wisconsin-madison, madison, united states"	11	927	42
6557	"department of pathology, national institute of infectious diseases, tokyo, japan"	29	1096	17
6568	"department of pathology, shiga university of medical science, otsu, japan"	10	164	26
6582	"department of pathology, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	11	246	4
6594	"department of pathophysiology and host defense, the research institute of tuberculosis, japan anti-tuberculosis association, kiyose, japan"	15	200	64
6631	"department of pediatrics, hanoi medical university, hanoi, viet nam"	12	321	14
6651	"department of pediatrics, nagasaki university hospital, nagasaki, japan"	10	171	34
6689	"department of pediatrics, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	18	534	43
6827	"department of physics and astronomy, kagoshima university, kagoshima, japan"	11	299	175
6835	"department of physics and astronomy, seoul national university, seoul, south korea"	18	423	215
6862	"department of physics and nanotechnology, srm institute of science and technology, kattankulathur, india"	12	43	46
6883	"department of physics, ewha womans university, seoul, south korea"	10	192	60
6890	"department of physics, hanoi university, hanoi, viet nam"	11	337	19
6893	"department of physics, ho chi minh city university of education, ho chi minh city, viet nam"	37	1027	89
6909	"department of physics, korea advanced institute of science and technology, daejeon, south korea"	11	72	17
6913	"department of physics, kyoto university, kyoto, japan"	25	588	163
6915	"department of physics, kyushu university, fukuoka, japan"	22	443	86
6926	"department of physics, national tsing hua university, hsinchu, taiwan"	18	399	188
6950	"department of physics, sungkyunkwan university, seoul, south korea"	19	185	107
6958	"department of physics, the university of hong kong, hong kong, hong kong"	17	472	207
6959	"department of physics, the university of osaka, suita, japan"	31	709	109
6960	"department of physics, the university of tokyo, tokyo, japan"	30	632	244
6961	"department of physics, tohoku university, sendai, japan"	29	713	203
6983	"department of physics, university of surrey, guildford, united kingdom"	12	324	147
7021	"department of physiology, vietnam military medical university, hanoi, viet nam"	10	116	13
7033	"department of plant and soil science, texas tech university, lubbock, united states"	11	153	52
7059	"department of plant protection, can tho university, can tho, viet nam"	11	131	11
7075	"department of plant resources, kyushu university, fukuoka, japan"	20	137	10
7104	"department of population and quantitative health sciences, university of massachusetts chan medical school, worcester, united states"	11	154	18
7117	"department of precision engineering, the university of osaka, suita, japan"	20	302	29
7128	"department of preventive environment and nutrition, tokushima university, tokushima, japan"	10	155	6
7169	"department of protozoology, nagasaki university, nagasaki, japan"	14	282	31
7235	"department of public health, fukushima medical university, fukushima, japan"	14	226	3
7241	"department of public health, international university of health and welfare, otawara, japan"	14	89	30
7245	"department of public health, kanazawa medical university, kahoku, japan"	26	526	65
7247	"department of public health, kanazawa university school of medicine, kanazawa, japan"	12	34	82
7248	"department of public health, kanazawa university, kanazawa, japan"	11	49	77
7259	"department of public health, okayama university of science, okayama, japan"	14	58	86
7461	"department of respiratory diseases, national center for global health and medicine, tokyo, japan"	15	654	36
7521	"department of science of technology innovation, nagaoka university of technology, nagaoka, japan"	37	525	73
7583	"department of soil sciences, can tho university, can tho, viet nam"	10	132	6
7639	"department of surgery, graduate school of medicine, kyoto, japan"	10	49	33
7641	"department of surgery, hanoi medical university, hanoi, viet nam"	11	126	23
7766	"department of urban engineering, the university of tokyo, tokyo, japan"	20	513	25
7769	"department of urban management, kyoto university, kyoto, japan"	12	433	13
7815	"department of vector ecology and environment, nagasaki university, nagasaki, japan"	24	976	29
7822	"department of vertebrate zoology, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam"	21	203	50
7826	"department of veterinary clinical sciences, university of miyazaki, miyazaki, japan"	10	109	27
7834	"department of veterinary medicine, can tho university, can tho, viet nam"	24	369	20
7870	"department of veterinary pathology, university of miyazaki, miyazaki, japan"	20	496	11
7872	"department of veterinary pharmacology, kagoshima university, kagoshima, japan"	15	86	2
7882	"department of veterinary public health, vietnam national university of agriculture, hanoi, viet nam"	12	367	12
7887	"department of veterinary science, university of miyazaki, miyazaki, japan"	11	116	27
7901	"department of virology and parasitology, fujita health university school of medicine, toyoake, japan"	10	234	15
7907	"department of virology, nagasaki university, nagasaki, japan"	49	2017	111
7909	"department of virology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam"	24	691	37
7910	"department of virology, national institute of hygiene and epidemiology, hanoi, viet nam"	28	1299	46
7925	"department of water resources, can tho university, can tho, viet nam"	27	359	49
7954	"department of zoology, magyar természettudományi múzeum, budapest, hungary"	13	181	44
7957	"department of zoology, national museum of nature and science, tokyo, japan"	13	124	23
8027	"dermatology and stds, national center for hiv/aids, phnom penh, cambodia"	19	261	329
8032	"design engineering lab, toyota technological institute, nagoya, japan"	11	406	15
8089	"discipline of business analytics, the university of sydney business school, sydney, australia"	10	176	22
8098	"disease control and prevention center, national center for global health and medicine, tokyo, japan"	15	310	31
8130	"division of animal sciences, institute of agrobiological sciences, naro, tsukuba, japan"	11	137	30
8211	"division of computational mathematics and engineering, ton-duc-thang university, ho chi minh city, viet nam"	13	943	37
8214	"division of computational physics, ton-duc-thang university, ho chi minh city, viet nam"	16	271	38
8332	"division of materials and manufacturing science, the university of osaka, suita, japan"	10	98	18
8339	"division of mechanical science and technology, gunma university, maebashi, japan"	11	17	9
8380	"division of natural drug discovery, university of toyama, toyama, japan"	13	299	26
8454	"division of research and treatment for oral and maxillofacial congenital anomalies, aichi gakuin university, nisshin, japan"	11	164	4
8550	"duke-nus medical school, singapore city, singapore"	12	177	30
8554	"duy tan university, da nang, viet nam"	27	457	63
8564	"dại học nguyen tat thanh, ho chi minh city, viet nam"	16	619	25
8627	"ehime university, matsuyama, japan"	44	1254	92
8721	"environment administration, ministry of natural resources and environment, vietnam, hanoi, viet nam"	12	205	42
8735	"environmental and renewable energy systems division, gifu university, gifu, japan"	10	214	20
8794	"erasmus school of economics, econometric institute, rotterdam, netherlands"	11	191	24
8806	"estuary research center, shimane university, matsue, japan"	12	278	27
8816	"european southern observatory santiago, santiago, chile"	12	323	178
8822	"evidence based medicine research group, ton-duc-thang university, ho chi minh city, viet nam"	23	697	109
8869	"faculty of advanced science and technology, kumamoto university, kumamoto, japan"	19	206	21
8884	"faculty of agriculture and marine science, kochi university, kochi, japan"	12	135	19
8892	"faculty of agriculture, ehime university, matsuyama, japan"	16	351	28
8897	"faculty of agriculture, kagawa university, takamatsu, japan"	14	256	12
8902	"faculty of agriculture, kochi university, kochi, japan"	13	256	18
8903	"faculty of agriculture, kyushu university, fukuoka, japan"	34	575	34
8910	"faculty of agriculture, saga university, saga, japan"	20	369	28
8922	"faculty of agriculture, university of miyazaki, miyazaki, japan"	18	457	15
8924	"faculty of agriculture, university of the ryukyus, nishihara, japan"	13	207	21
8925	"faculty of agriculture, yamagata university, yamagata, japan"	10	209	12
8933	"faculty of agronomy, university of agriculture and forestry, hue university, hue, viet nam"	13	152	17
8934	"faculty of agronomy, vietnam national university of agriculture, hanoi, viet nam"	29	357	45
8960	"faculty of applied sciences, ton-duc-thang university, ho chi minh city, viet nam"	74	1164	173
8962	"faculty of applied technology, van lang university, ho chi minh city, viet nam"	11	32	18
8992	"faculty of biology, trường đại học sư phạm hà nội, hanoi, viet nam"	13	237	24
8998	"faculty of biology, vietnam national university, hanoi, hanoi, viet nam"	15	234	42
9006	"faculty of bioscience and bioindustry, tokushima university, tokushima, japan"	15	218	28
9012	"faculty of biotechnology, dại học nguyen tat thanh, ho chi minh city, viet nam"	13	257	29
9039	"faculty of chemical engineering, industrial university of ho chi minh city, ho chi minh city, viet nam"	16	390	23
9056	"faculty of chemistry, hanoi university of education, hanoi, viet nam"	17	608	17
9066	"faculty of chemistry, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	38	842	77
9068	"faculty of chemistry, vietnam national university, hanoi, hanoi, viet nam"	131	3475	235
9077	"faculty of civil engineering, duy tan university, da nang, viet nam"	10	642	28
9081	"faculty of civil engineering, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam"	17	378	29
9086	"faculty of civil engineering, thuyloi university, hanoi, viet nam"	19	184	15
9087	"faculty of civil engineering, ton-duc-thang university, ho chi minh city, viet nam"	25	1895	76
9094	"faculty of civil engineering, đại học công nghệ giao thông vận tải, hanoi, viet nam"	18	243	21
9095	"faculty of civil engineering, đại học mở thành phố hồ chí minh, ho chi minh city, viet nam"	11	560	21
9114	"faculty of contemporary human life science, tezukayama university, nara, japan"	10	47	23
9147	"faculty of economics and rural development, vietnam national university of agriculture, hanoi, viet nam"	14	173	19
9186	"faculty of electrical and electronics engineering, ton-duc-thang university, ho chi minh city, viet nam"	15	148	20
9195	"faculty of electronics and telecommunications, vietnam national university, hanoi, hanoi, viet nam"	10	134	11
9211	"faculty of engineering physics and nanotechnology, vietnam national university, hanoi, hanoi, viet nam"	14	236	27
9257	"faculty of environment and labour safety, ton-duc-thang university, ho chi minh city, viet nam"	29	2598	67
9262	"faculty of environment and natural resources, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam"	25	744	84
9282	"faculty of environment, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	24	433	26
9285	"faculty of environment, vietnam national university of agriculture, hanoi, viet nam"	10	230	31
9287	"faculty of environmental and chemical engineering, duy tan university, da nang, viet nam"	14	477	36
9288	"faculty of environmental and food engineering, dại học nguyen tat thanh, ho chi minh city, viet nam"	10	215	20
9293	"faculty of environmental earth science, hokkaido university, sapporo, japan"	25	1055	50
9294	"faculty of environmental engineering, hanoi university of civil engineering, hanoi, viet nam"	18	279	39
9295	"faculty of environmental engineering, the university of kitakyushu, kitakyushu, japan"	21	242	21
9299	"faculty of environmental science, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	18	515	18
9300	"faculty of environmental science, university of sciences, hue university, hue, viet nam"	11	119	15
9304	"faculty of environmental sciences, vietnam national university, hanoi, hanoi, viet nam"	18	358	50
9322	"faculty of fisheries sciences, hokkaido university, sapporo, japan"	14	81	18
9325	"faculty of fisheries, kagoshima university, kagoshima, japan"	12	150	14
9330	"faculty of fisheries, university of agriculture and forestry, hue university, hue, viet nam"	16	684	29
9366	"faculty of geology, vietnam national university, hanoi, hanoi, viet nam"	25	913	36
9368	"faculty of geosciences and civil engineering, kanazawa university, kanazawa, japan"	15	148	11
9380	"faculty of health sciences, kanazawa university, kanazawa, japan"	25	501	66
9431	"faculty of information technology, ho chi minh city university of technology - hutech, ho chi minh city, viet nam"	95	4650	187
9476	"faculty of life and environmental sciences, university of tsukuba, tsukuba, japan"	19	455	37
9499	"faculty of materials science and engineering, kyoto institute of technology, kyoto, japan"	13	214	15
9500	"faculty of materials science and engineering, phenikaa university, hanoi, viet nam"	13	212	20
9501	"faculty of materials science, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	11	221	22
9503	"faculty of materials technology, viet nam national university ho chi minh city, ho chi minh city, viet nam"	10	349	11
9513	"faculty of mathematics and statistics, ton-duc-thang university, ho chi minh city, viet nam"	12	271	11
9517	"faculty of mathematics, mechanics and informatics, vietnam national university, hanoi, hanoi, viet nam"	15	411	8
9526	"faculty of mechanical engineering, hcmc university of technology and education, ho chi minh city, viet nam"	11	92	12
9545	"faculty of medicine - ain shams university, cairo, egypt"	20	273	94
