id	organization	documents	citations	total link strength
10183	"geographic information science research group, ton-duc-thang university, ho chi minh city, viet nam"	11	1610	42
10193	"geological survey of japan, tsukuba, japan"	12	143	15
10228	"gifu university, gifu, japan"	31	956	51
10246	"global coe program, nagasaki university, nagasaki, japan"	11	814	35
10247	"global collaboration center, the university of osaka, suita, japan"	12	578	30
10275	"goal-oriented technology research group, riken center for advanced intelligence project, tokyo, japan"	11	544	37
10309	"graduate school for international development and cooperation, hiroshima university, higashihiroshima, japan"	39	1869	37
10312	"graduate school of advanced science and engineering, hiroshima university, higashihiroshima, japan"	34	422	58
10317	"graduate school of agricultural and life sciences the university of tokyo, tokyo, japan"	30	696	66
10318	"graduate school of agricultural and life sciences, graduate school of agricultural and life sciences the university of tokyo, tokyo, japan"	11	358	12
10319	"graduate school of agricultural and life sciences, the university of tokyo, tokyo, japan"	16	157	64
10323	"graduate school of agriculture, ehime university, matsuyama, japan"	18	322	48
10326	"graduate school of agriculture, kyoto university, kyoto, japan"	14	235	17
10334	"graduate school of asia pacific studies, ritsumeikan asia pacific university, beppu, japan"	13	316	21
10339	"graduate school of bioagricultural sciences, nagoya university, nagoya, japan"	22	535	31
10342	"graduate school of biomedical sciences, nagasaki university, nagasaki, japan"	18	268	65
10343	"graduate school of biomedical sciences, nagasaki, japan"	20	282	67
10344	"graduate school of bioresource and bioenvironmental sciences, kyushu university, fukuoka, japan"	16	241	30
10350	"graduate school of biosphere science, hiroshima university, higashihiroshima, japan"	18	466	12
10377	"graduate school of engineering science, the university of osaka, suita, japan"	13	128	18
10381	"graduate school of engineering, hiroshima university, higashihiroshima, japan"	16	1097	30
10392	"graduate school of engineering, the university of osaka, suita, japan"	10	245	10
10400	"graduate school of environmental and life science, okayama university, okayama, japan"	26	383	20
10403	"graduate school of environmental engineering, the university of kitakyushu, kitakyushu, japan"	11	241	8
10404	"graduate school of environmental science, hokkaido university, sapporo, japan"	14	186	33
10407	"graduate school of environmental studies, nagoya university, nagoya, japan"	16	383	26
10410	"graduate school of fisheries and environmental sciences, nagasaki, japan"	26	343	52
10411	"graduate school of fisheries sciences, hokkaido university, sapporo, japan"	12	2467	16
10414	"graduate school of frontier sciences, the university of tokyo, tokyo, japan"	28	1342	48
10416	"graduate school of global environmental studies, kyoto university, kyoto, japan"	27	465	32
10417	"graduate school of global environmental studies, kyoto, japan"	28	299	35
10426	"graduate school of horticulture, chiba university, chiba, japan"	11	164	14
10427	"graduate school of human and environmental studies, kyoto university, kyoto, japan"	12	830	18
10428	"graduate school of human and environmental studies, kyoto, japan"	15	202	31
10434	"graduate school of humanities and sciences, ochanomizu university, tokyo, japan"	10	158	17
10437	"graduate school of humanities and sustainable system sciences, osaka metropolitan university, osaka, japan"	10	132	15
10458	"graduate school of integrated sciences for global society, kyushu university, fukuoka, japan"	10	271	16
10459	"graduate school of integrated sciences for life, hiroshima university, higashihiroshima, japan"	12	95	12
10466	"graduate school of international social sciences, yokohama, japan"	11	142	2
10475	"graduate school of life and environmental sciences, university of tsukuba, tsukuba, japan"	40	946	89
10480	"graduate school of life sciences, tohoku university, sendai, japan"	10	344	24
10486	"graduate school of mathematical sciences, the university of tokyo, tokyo, japan"	10	98	14
10490	"graduate school of medical science, kanazawa university, kanazawa, japan"	20	393	19
10521	"graduate school of natural science and technology, kanazawa university, kanazawa, japan"	13	279	9
10532	"graduate school of pharmaceutical sciences, the university of osaka, suita, japan"	10	385	23
10536	"graduate school of public health, st. luke’s international university, tokyo, japan"	20	248	36
10542	"graduate school of science and engineering, ehime university, matsuyama, japan"	12	587	27
10552	"graduate school of science and engineering, ritsumeikan university biwako-kusatsu campus, kusatsu, japan"	15	307	32
10555	"graduate school of science and engineering, saitama university, saitama, japan"	20	594	25
10564	"graduate school of science and technology, gunma university, maebashi, japan"	15	69	18
10569	"graduate school of science and technology, kumamoto university, kumamoto, japan"	38	2943	51
10595	"graduate school of sciences and technology for innovation, yamaguchi university, yamaguchi, japan"	14	74	3
10649	"gsi helmholtz centre for heavy ion research gmbh, darmstadt, germany"	17	430	184
10673	"gunma university, maebashi, japan"	10	35	15
10725	"hanoi college of pharmacy, hanoi, viet nam"	11	187	25
10728	"hanoi department of health, hanoi, viet nam"	15	264	62
10733	"hanoi institute of mathematics, hanoi, viet nam"	53	530	25
10738	"hanoi lung hospital, hanoi, viet nam"	21	414	78
10740	"hanoi medical university, hanoi, viet nam"	71	1015	144
10741	"hanoi metropolitan university, hanoi, viet nam"	15	185	35
10748	"hanoi school of public health, hanoi, viet nam"	15	227	33
10750	"hanoi university of civil engineering, hanoi, viet nam"	35	452	40
10752	"hanoi university of industry, hanoi, viet nam"	15	263	49
10753	"hanoi university of mining and geology, hanoi, viet nam"	12	328	17
10755	"hanoi university of science and technology, hanoi, viet nam"	138	2242	167
10780	"hcmc institute of resources geography, vast, ho chi minh city, viet nam"	12	449	23
10814	"health service center, hiroshima university, higashihiroshima, japan"	20	215	16
10865	"high energy accelerator research organization, tsukuba, tsukuba, japan"	13	188	33
10884	"hiroshima university graduate school of biomedical and health sciences, hiroshima, japan"	32	486	38
10886	"hiroshima university, higashihiroshima, japan"	51	610	91
10907	"ho chi minh city university of industry and trade, ho chi minh city, viet nam"	10	373	4
10909	"ho chi minh city university of technology - hcmut, ho chi minh city, viet nam"	35	652	61
10910	"ho chi minh city university of technology - hutech, ho chi minh city, viet nam"	42	1078	118
10928	"hokkaido university, sapporo, japan"	23	265	30
10945	"horia hulubei national institute for r&d in physics and nuclear engineering, magurele, romania"	13	257	138
10957	"hospital sungai buloh, sungai buloh, malaysia"	25	305	449
11000	"hun-ren institute for nuclear research, debrecen, hungary"	16	443	169
11023	"hydraulic construction institute, vietnam academy for water resources, hanoi, viet nam"	10	142	16
11104	"in2p3 - institut national de physique nucléaire et de physique des particules, paris, france"	17	646	171
11151	"infectious disease surveillance center, national institute of infectious diseases, tokyo, japan"	16	179	57
11199	"innovative clinical research center, kanazawa university, kanazawa, japan"	17	75	112
11201	"innovative global program, shibaura institute of technology, tokyo, japan"	14	78	14
11210	"insect ecology department, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam"	10	132	3
11275	"institute for agro-environmental sciences, naro, tsukuba, japan"	16	846	26
11281	"institute for basic science, daejeon, daejeon, south korea"	13	223	89
11311	"institute for environment and resources, viet nam national university ho chi minh city, ho chi minh city, viet nam"	13	247	25
11321	"institute for global environmental strategies, hayama, japan"	35	487	52
11363	"institute for nuclear science and technique, vietnam atomic energy institute, hanoi, viet nam"	13	216	1
11368	"institute for preventive medicine and public health, hanoi medical university, hanoi, viet nam"	20	303	41
11384	"institute for space-earth environmental research, nagoya university, nagoya, japan"	10	342	23
11395	"institute for tropical technology, vietnam academy of science and technology, hanoi, viet nam"	13	470	26
11405	"institute of advanced sciences, yokohama national university, yokohama, japan"	13	201	25
11410	"institute of agricultural genetics, hanoi, viet nam"	11	340	7
11417	"institute of agrobiological sciences, naro, tsukuba, japan"	34	723	44
11440	"institute of archaeology, hanoi, viet nam"	13	575	24
11443	"institute of archaeology, vietnam academy of social sciences, hanoi, viet nam"	10	190	20
11449	"institute of astronomy, national tsing hua university, hsinchu, taiwan"	12	299	180
11476	"institute of biomedicine and pharmacy, vietnam military medical university, hanoi, viet nam"	10	60	23
11486	"institute of biotechnology, vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam"	19	776	30
11545	"institute of engineering innovation, the university of tokyo, tokyo, japan"	12	203	36
11546	"institute of engineering physics, hanoi university of science and technology, hanoi, viet nam"	14	449	29
11572	"institute of environmental technology, vietnam academy of science and technology, hanoi, viet nam"	28	913	57
11584	"institute of fundamental and applied sciences, duy tan university, da nang, viet nam"	41	539	119
11593	"institute of genome research, vietnam academy of science and technology, hanoi, viet nam"	19	135	40
11600	"institute of geography, vietnam academy of science and technology, hanoi, viet nam"	14	552	19
11606	"institute of geological sciences, vietnam academy of science and technology, hanoi, viet nam"	27	825	54
11612	"institute of geophysics, vietnam academy of science and technology, hanoi, viet nam"	21	548	34
11638	"institute of industrial science, tokyo, japan"	26	2634	28
11640	"institute of infectious diseases, pune, india"	28	368	496
11654	"institute of laser engineering, the university of osaka, suita, japan"	11	143	31
11662	"institute of livestock and grassland science, naro, tsukuba, japan"	15	165	32
11675	"institute of marine environment and resources, vietnam academy of science and technology, hanoi, viet nam"	20	262	19
11691	"institute of materials science, vietnamese academy of science and technology institute of materials science, hanoi, viet nam"	10	378	8
11696	"institute of mathematics, hanoi institute of mathematics, hanoi, viet nam"	23	444	2
11705	"institute of medical science, the university of tokyo, tokyo, japan"	25	2653	89
11716	"institute of microbiology and biotechnology, vietnam national university, hanoi, hanoi, viet nam"	12	151	6
11722	"institute of modern physics chinese academy of sciences, lanzhou, china"	18	322	134
11730	"institute of multidisciplinary research for advanced materials, tohoku university, sendai, japan"	29	1525	43
11735	"institute of natural medicine, university of toyama, toyama, japan"	53	1530	66
11777	"institute of philosophy, vietnam academy of social sciences, hanoi, viet nam"	12	391	30
11790	"institute of physics, vietnamese academy of science and technology institute of physics and electronics, hanoi, viet nam"	23	641	30
11799	"institute of plant science and resources, okayama university, okayama, japan"	17	319	22
11808	"institute of public health, ho chi minh city, viet nam"	11	216	30
11821	"institute of research and development, duy tan university, da nang, viet nam"	344	17291	816
11836	"institute of science tokyo, tokyo, japan"	42	1034	50
11869	"institute of theoretical and applied research, duy tan university, da nang, viet nam"	13	199	35
11876	"institute of transport science and technology, hanoi, viet nam"	10	195	11
11881	"institute of tropical agriculture, kyushu university, fukuoka, japan"	28	291	31
11887	"institute of tropical medicine, nagasaki university, nagasaki, japan"	36	1163	81
11918	"instituto andaluz interuniversitario en data science and computational intelligence, granada, spain"	23	841	59
11964	"interdisciplinary graduate school of engineering sciences, kyushu university, fukuoka, japan"	15	352	10
11998	"international collaboration unit, hokkaido university, sapporo, japan"	11	49	12
12060	"international rice research institute, makati, philippines"	10	323	21
12062	"international school, hue university, hue, viet nam"	11	168	13
12069	"international training institute for materials science, hanoi, viet nam"	34	684	40
12072	"international university of japan, minamiuonuma, japan"	66	465	125
12095	"iriomote station, university of the ryukyus, nishihara, japan"	23	178	57
12109	"istituto di calcolo e reti ad alte prestazioni, rende, rende, italy"	10	382	24
12128	"iwate prefectural university, iwate district, japan"	12	724	24
12129	"iwate university, morioka, japan"	15	176	22
12143	"james cook university, townsville, australia"	11	176	27
12147	"japan advanced institute of science and technology, nomi, japan"	87	1562	105
12153	"japan atomic energy agency, kashiwa, japan"	17	268	37
12170	"japan international cooperation agency, tokyo, japan"	18	498	25
12171	"japan international research center for agricultural sciences, tsukuba, japan"	37	1928	39
12183	"japan science and technology agency, kawaguchi, japan"	83	4532	200
12184	"japan society for the promotion of science, tokyo, japan"	13	346	25
12185	"japan synchrotron radiation research institute, sayo district, japan"	17	171	38
12215	"jiangsu province wind power structural engineering research center, nanjing, china"	11	283	38
12239	"joining and welding research institute, ibaraki, japan"	28	354	41
12281	"kagoshima university, kagoshima, japan"	60	363	98
12304	"kanazawa university, kanazawa, japan"	22	274	43
12348	"keio university, tokyo, japan"	17	175	19
12363	"key laboratory of advanced waste treatment technology, viet nam national university ho chi minh city, ho chi minh city, viet nam"	10	305	35
12390	"key laboratory of mollisols agroecology, northeast institute of geography and agroecology, changchun, china"	14	435	56
12424	"khanh hoa health service, nha trang, viet nam"	18	372	58
12486	"kobe university, kobe, japan"	14	198	15
12498	"komarov botanical institute, russian academy of sciences, saint petersburg, russian federation"	23	353	32
12504	"korea astronomy and space science institute, daejeon, south korea"	14	335	187
12559	"kyoto institute of technology, kyoto, japan"	12	121	25
12568	"kyoto university, kyoto, japan"	40	1627	65
12575	"kyushu okinawa agricultural research center naro, koshi, japan"	10	419	13
12581	"kyushu university, fukuoka, japan"	88	1002	98
12656	"laboratory for nanotechnology, viet nam national university ho chi minh city, ho chi minh city, viet nam"	18	641	46
12670	"laboratory of advanced materials, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	14	318	53
12820	"laboratory of organic geochemistry, tokyo university of agriculture and technology, fuchu, japan"	10	4219	20
12886	"laboratory of wildlife biology, obihiro university of agriculture and veterinary medicine, obihiro, japan"	15	137	48
12916	"le quy don technical university, hanoi, viet nam"	40	676	53
12933	"lembaga ilmu pengetahuan indonesia, central jakarta, indonesia"	15	420	24
12969	"livestock and environment division, japan international research center for agricultural sciences, tsukuba, japan"	19	222	26
12977	"london school of hygiene & tropical medicine, london, united kingdom"	23	596	80
13117	"master's program in environmental engineering, vietnam national university, hanoi, hanoi, viet nam"	11	148	12
13341	"ministry of health vitenam, hanoi, viet nam"	27	344	63
13424	"monash university, melbourne, australia"	11	219	15
13490	"nagaoka university of technology, nagaoka, japan"	30	571	32
13495	"nagasaki university, nagasaki, japan"	64	1382	176
13500	"nagoya institute of technology, nagoya, japan"	11	188	25
13502	"nagoya university, nagoya, japan"	51	881	90
13541	"nanotechnology program, vietnam national university, hanoi, hanoi, viet nam"	43	540	60
13547	"nara institute of science and technology, ikoma, japan"	13	74	17
13598	"national center for global health and medicine, tokyo, japan"	72	1523	612
13631	"national economics university hanoi, hanoi, viet nam"	28	370	56
13644	"national graduate institute for policy studies, minato, japan"	17	378	6
13650	"national heart centre singapore, singapore city, singapore"	12	153	27
13652	"national hospital for tropical diseases, hanoi, viet nam"	34	357	440
13661	"national hospital of tropical diseases, hanoi, viet nam"	20	265	95
13684	"national institute for environmental studies of japan, tsukuba, japan"	19	1065	35
13691	"national institute for materials science, tsukuba, japan"	32	965	61
13696	"national institute of advanced industrial science and technology, tsukuba, japan"	67	2529	107
13700	"national institute of animal health, naro, tsukuba, japan"	12	569	12
13725	"national institute of hygiene and epidemiology hanoi, hanoi, viet nam"	113	3989	270
13726	"national institute of hygiene and epidemiology, hanoi, viet nam"	95	3799	188
13729	"national institute of infectious diseases, tokyo, japan"	33	1220	75
13731	"national institute of information and communications technology, koganei, japan"	32	773	58
13733	"national institute of malariology, parasitology and entomology hanoi, hanoi, viet nam"	10	146	15
13734	"national institute of medicinal materials, hanoi, viet nam"	10	252	14
13743	"national institute of nutrition vietnam, hanoi, viet nam"	50	1325	34
13760	"national institute of technology and evaluation, tokyo, japan"	11	457	15
13771	"national institute of veterinary research hanoi, hanoi, viet nam"	29	660	35
13776	"national institutes for the humanities, research institute for humanity and nature, kyoto, japan"	13	358	24
13780	"national institutes of natural sciences - national astronomical observatory of japan, mitaka, japan"	15	372	41
13817	"national radio astronomy observatory, charlottesville, united states"	12	336	178
13861	"national university of singapore, singapore city, singapore"	17	598	35
13910	"ncgm-bmh medical collaboration center, hanoi, viet nam"	27	640	91
13939	"new industry creation hatchery center, tohoku university, sendai, japan"	28	482	43
13964	"nha trang pasteur institute, khanh hoa province, viet nam"	29	509	81
13975	"niels bohr institutet, copenhagen, denmark"	11	299	175
13987	"niigata university, niigata, japan"	11	690	32
14022	"nong lam university, ho chi minh city, ho chi minh city, viet nam"	27	2510	41
14060	"ntt hi-tech institute, dại học nguyen tat thanh, ho chi minh city, viet nam"	11	1945	9
14081	"nuffield department of medicine, oxford, united kingdom"	25	474	72
14094	"obihiro university of agriculture and veterinary medicine, obihiro, japan"	13	102	15
14098	"ocean research institute, the university of tokyo, tokyo, japan"	11	321	1
14141	"okayama university, okayama, japan"	61	941	79
14170	"online research club (http://www.onlineresearchclub.org), nagasaki, japan"	19	200	94
14173	"online research club, nagasaki, japan"	32	339	153
14191	"organisation mondiale de la santé, geneva, switzerland"	22	445	33
14209	"osaka institute of public health, osaka, japan"	21	761	48
14214	"osaka metropolitan university, osaka, japan"	69	1598	98
14215	"osaka museum of natural history, osaka, japan"	10	54	15
14241	"oxford university clinical research unit, ho chi minh city, viet nam"	30	695	79
14293	"pasteur institute in ho chi minh city, ho chi minh city, viet nam"	20	763	36
14321	"peking university, beijing, china"	12	276	124
14352	"pham ngoc thach university of medicine, ho chi minh city, viet nam"	14	384	57
14357	"pharmaceutical and health sciences, kanazawa university, kanazawa, japan"	10	74	52
14438	"plant genomic network research team, riken center for sustainable resource science, yokohama, japan"	13	1075	48
14450	"plant protection research institute, hanoi, viet nam"	11	230	12
14460	"plant stress research group & faculty of applied sciences, ton-duc-thang university, ho chi minh city, viet nam"	18	1487	39
14496	"posts and telecommunications institute of technology vietnam, hanoi, viet nam"	34	1015	64
14615	"quantum hadron physics laboratory, riken nishina center for accelerator-based science, wako, japan"	13	195	32
14621	"queen elizabeth hospital hong kong, hong kong, china"	28	367	473
14666	"ramathibodi hospital, bangkok, thailand"	10	285	110
14693	"regional research center, iwate prefectural university, iwate district, japan"	27	812	71
14738	"research and development center for precision medicine, university of tsukuba, tsukuba, japan"	10	94	32
14752	"research and education center for prevention of global infectious diseases of animals, tokyo university of agriculture and technology, fuchu, japan"	11	120	26
14808	"research center for nuclear physics (rcnp), the university of osaka, suita, japan"	11	157	84
14809	"research center for nuclear physics, the university of osaka, suita, japan"	24	639	105
14828	"research center for water environment technology, the university of tokyo, tokyo, japan"	11	498	16
14830	"research center for zoonosis control, hokkaido university, sapporo, japan"	12	237	35
14850	"research faculty of agriculture, hokkaido university, sapporo, japan"	16	104	16
14852	"research group (environmental health), sumitomo chemical company, limited, tokyo, japan"	17	324	51
14870	"research institute for biotechnology and environment, nong lam university, ho chi minh city, ho chi minh city, viet nam"	13	248	12
14877	"research institute for health sciences, chaing mai, thailand"	14	158	253
14878	"research institute for health sciences, chiang mai university, chiang mai, thailand"	10	193	179
14897	"research institute for sustainable humanosphere, uji, japan"	13	178	26
14900	"research institute for tropical medicine, manila, philippines"	27	439	447
14927	"research institute of natural sciences, okayama university of science, okayama, japan"	11	453	6
14932	"research institute, national center for global health and medicine, tokyo, japan"	12	485	33
14946	"research organization of information and systems national institute of informatics, tokyo, japan"	56	1826	92
14981	"reuse and management, vietnamese-german university, thu dau mot, viet nam"	10	277	10
14991	"riken (the institute of physical and chemical research), wako, japan"	10	222	29
14998	"riken center for sustainable resource science, yokohama, japan"	60	2653	120
15000	"riken nishina center for accelerator-based science, wako, japan"	10	84	21
15003	"riken, wako, japan"	54	1080	401
15010	"ritsumeikan asia pacific university, beppu, japan"	27	686	41
15012	"ritsumeikan university biwako-kusatsu campus, kusatsu, japan"	34	548	43
15084	"saitama university, saitama, japan"	42	421	52
15149	"school of archaeology and anthropology, the australian national university, canberra, australia"	11	908	11
15184	"school of biotechnology and food technology, hanoi university of science and technology, hanoi, viet nam"	21	236	31
15185	"school of biotechnology, international university - vietnam national university hcm city, ho chi minh city, viet nam"	13	617	16
15201	"school of chemical engineering, hanoi university of science and technology, hanoi, viet nam"	58	776	80
15213	"school of chemistry and life sciences, hanoi university of science and technology, hanoi, viet nam"	11	59	14
15261	"school of computing, engineering and mathematics, university of brighton, brighton, united kingdom"	12	350	159
15308	"school of education, can tho university, can tho, viet nam"	12	70	28
15312	"school of electrical and electronic engineering, hanoi university of science and technology, hanoi, viet nam"	31	238	30
15329	"school of electronics and telecommunications, hanoi university of science and technology, hanoi, viet nam"	33	773	22
15341	"school of engineering physics, hanoi university of science and technology, hanoi, viet nam"	18	300	27
15383	"school of environmental science and technology, hanoi university of science and technology, hanoi, viet nam"	29	828	54
15422	"school of health sciences, sapporo medical university, sapporo, japan"	12	235	30
15433	"school of information and communication technology, hanoi university of science and technology, hanoi, viet nam"	55	727	62
15451	"school of knowledge science, japan advanced institute of science and technology, nomi, japan"	19	345	16
15489	"school of materials science and engineering, hanoi university of science and technology, hanoi, viet nam"	56	956	89
15498	"school of materials science, japan advanced institute of science and technology, nomi, japan"	59	1919	65
15514	"school of mechanical and electrical engineering, university of southern queensland, toowoomba, australia"	13	224	39
15522	"school of mechanical engineering, hanoi university of science and technology, hanoi, viet nam"	70	740	82
15539	"school of medicine and pharmacy, duy tan university, da nang, viet nam"	13	28	47
15540	"school of medicine and pharmacy, university of danang, da nang, viet nam"	10	68	47
15541	"school of medicine and pharmacy, vietnam national university, hanoi, hanoi, viet nam"	16	303	22
15574	"school of medicine, viet nam national university ho chi minh city, ho chi minh city, viet nam"	16	372	79
15638	"school of public health, imperial college london, london, united kingdom"	14	44	67
15691	"school of systems engineering, kochi university of technology, kami, japan"	25	460	25
15694	"school of textile-leather and fashion, hanoi university of science and technology, hanoi, viet nam"	10	320	6
15699	"school of transportation engineering, hanoi university of science and technology, hanoi, viet nam"	12	243	14
15702	"school of tropical medicine and global health, nagasaki university, nagasaki, japan"	98	1098	331
15739	"sciences po paris, paris, france"	13	446	29
15811	"seoul national university, seoul, south korea"	14	447	164
15870	"shibaura institute of technology, tokyo, japan"	31	479	26
15890	"shizuoka university, shizuoka, japan"	18	517	18
15911	"signaling pathway research unit, riken center for sustainable resource science, yokohama, japan"	37	4304	48
15918	"silviculture research institute, vietnamese academy of forest sciences, hanoi, viet nam"	22	301	49
15938	"siriraj hospital, bangkok, thailand"	20	1303	182
15969	"soete laboratory, universiteit gent, ghent, belgium"	11	878	26
15989	"sorbonne université, paris, france"	13	223	40
16013	"southern institute of ecology, vietnam academy of science and technology, hanoi, viet nam"	12	124	10
16214	"system emotional science, graduate school of medicine and pharmaceutical sciences, toyama, japan"	12	256	27
16216	"system emotional science, university of toyama, toyama, japan"	10	155	17
16235	"taipei veterans general hospital, taipei, taiwan"	25	272	441
16264	"tan tock seng hospital, singapore city, singapore"	20	232	354
16297	"technische universität darmstadt, darmstadt, germany"	14	442	171
16346	"thai nguyen university of information and communication technology (ictu), thai nguyen, viet nam"	12	29	37
16351	"thai nguyen university, thai nguyen, viet nam"	33	341	74
16353	"thai red cross agency, bangkok, thailand"	17	316	287
16385	"the australian national university, canberra, australia"	19	222	45
16413	"the foundation for aids research, bangkok, thailand"	14	128	246
16419	"the graduate university for advanced studies, hayama, japan"	23	226	49
16440	"the kirby institute, kensington, australia"	29	381	497
16443	"the kyoto university museum, kyoto, japan"	47	409	136
16460	"the research institute of tuberculosis, japan anti-tuberculosis association, kiyose, japan"	10	216	34
16469	"the united graduate school of veterinary science, yamaguchi university, yamaguchi, japan"	13	222	28
16473	"the university of aizu, aizuwakamatsu, japan"	27	212	33
16475	"the university of edinburgh, edinburgh, united kingdom"	12	120	96
16477	"the university of electro-communications, chofu, japan"	28	411	36
16481	"the university of kitakyushu, kitakyushu, japan"	10	175	17
16485	"the university of osaka, suita, japan"	77	979	119
16486	"the university of queensland, brisbane, australia"	13	193	24
16494	"the university of sydney, sydney, australia"	14	708	40
16500	"the university of tokyo, tokyo, japan"	112	2733	280
16510	"theoretical nuclear physics laboratory, riken nishina center for accelerator-based science, wako, japan"	14	207	14
16535	"thuongmai university, hanoi, viet nam"	24	329	52
16536	"thuyloi university, hanoi, viet nam"	36	1069	57
16567	"tohoku university, sendai, japan"	118	2598	389
16596	"tokyo university of agriculture and technology, fuchu, japan"	66	750	77
16599	"tokyo university of marine science and technology, tokyo, japan"	15	136	12
16601	"tokyo university of science, tokyo, japan"	14	98	40
16633	"toyota physical and chemical research institute, nagakute, japan"	15	366	37
16634	"toyota technological institute, nagoya, japan"	17	282	24
16653	"transdisciplinary science and engineering program, hiroshima university, higashihiroshima, japan"	11	116	26
16669	"tropical biosphere research center, university of the ryukyus, nishihara, japan"	16	499	38
16686	"trường đại học giao thông vận tải, hanoi, viet nam"	44	588	68
16687	"trường đại học sư phạm hà nội, hanoi, viet nam"	39	425	56
16792	"universidad de granada, granada, spain"	39	2197	88
16824	"universitas indonesia, depok, indonesia"	10	532	40
16825	"universitas indonesia, rsupn dr. cipto mangunkusumo, central jakarta, indonesia"	17	615	267
16854	"universiti malaya, kuala lumpur, malaysia"	11	242	15
16861	"universiti teknologi malaysia kuala lumpur, kuala lumpur, malaysia"	11	170	24
16867	"university college london hospitals nhs foundation trust, london, united kingdom"	15	363	50
16871	"university hawaii institute for astronomy, honolulu, united states"	10	296	161
16875	"university medicine and pharmacy, hue university, hue, viet nam"	21	510	72
16877	"university of agriculture and forestry, hue university, hue, viet nam"	32	650	35
16896	"university of chinese academy of sciences, beijing, china"	17	588	47
16904	"university of danang, da nang, viet nam"	58	964	89
16915	"university of economics ho chi minh city, ho chi minh city, viet nam"	11	213	14
16922	"university of finance - marketing, ho chi minh city, viet nam"	10	21	20
16950	"university of malaya medical centre, kuala lumpur, malaysia"	28	845	470
16955	"university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	71	1756	208
16968	"university of miyazaki, miyazaki, japan"	11	153	20
16998	"university of science and technology, university of danang, da nang, viet nam"	33	552	42
17000	"university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	94	1984	214
17002	"university of sciences, hue university, hue, viet nam"	13	125	20
17015	"university of technology sydney, sydney, australia"	12	297	38
17024	"university of the ryukyus, nishihara, japan"	10	409	16
17032	"university of tsukuba, tsukuba, japan"	81	2503	149
17038	"university of virginia, charlottesville, united states"	11	298	160
17070	"universität zu köln, koln, germany"	10	266	97
17088	"université de strasbourg, strasbourg, france"	13	518	128
17105	"université paris-saclay, gif-sur-yvette, france"	16	360	158
17189	"vhs medical centre india, chennai, india"	11	128	196
17200	"viet nam national university ho chi minh city, ho chi minh city, viet nam"	256	4483	487
17216	"vietnam academy of science and technology, hanoi, viet nam"	309	4743	654
17223	"vietnam atomic energy institute, hanoi, viet nam"	93	2361	288
17265	"vietnam military medical university, hanoi, viet nam"	14	172	22
17268	"vietnam national children's hospital, hanoi, viet nam"	20	426	23
17277	"vietnam national museum of nature, hanoi, viet nam"	15	194	19
17279	"vietnam national museum of nature, vietnam academy of science and technology, hanoi, viet nam"	31	958	58
17284	"vietnam national university institute of physics, ho chi minh city, viet nam"	19	198	22
17285	"vietnam national university of agriculture, hanoi, viet nam"	54	838	96
17286	"vietnam national university of forestry, hanoi, viet nam"	22	150	42
17289	"vietnam national university, hanoi, hanoi, viet nam"	310	8898	546
17308	"vietnam research station, nagasaki university, nagasaki, japan"	27	345	69
17326	"vietnamese academy of forest sciences, hanoi, viet nam"	11	499	18
17329	"vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam"	41	931	35
17330	"vietnamese academy of science and technology institute of chemistry, hanoi, viet nam"	28	1225	46
17331	"vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam"	163	2121	303
17332	"vietnamese academy of science and technology institute of information technology, hanoi, viet nam"	14	186	11
17333	"vietnamese academy of science and technology institute of materials science, hanoi, viet nam"	71	1354	105
17334	"vietnamese academy of science and technology institute of mechanics, hanoi, viet nam"	12	381	19
17335	"vietnamese academy of science and technology institute of physics and electronics, hanoi, viet nam"	93	2030	231
17336	"vietnamese academy of science and technology institute of tropical biology, dalat, viet nam"	55	756	129
17358	"vinuniversity, hanoi, viet nam"	17	148	23
17373	"viện khoa học và công nghệ tính toán, ho chi minh city, viet nam"	12	409	23
17382	"vnu-university of medicine and pharmacy, hanoi, viet nam"	11	154	16
17383	"vnuhcm - university of information technology, ho chi minh city, viet nam"	22	164	48
17409	"waseda university, tokyo, japan"	30	948	40
17428	"water resources research center, kyoto university, kyoto, japan"	14	636	15
17533	"yamaguchi university, yamaguchi, japan"	22	113	33
17549	"yokohama city university, yokohama, japan"	21	240	77
17551	"yokohama national university, yokohama, japan"	19	324	19
17610	"đại học công nghệ giao thông vận tải, hanoi, viet nam"	49	2952	101
17611	"đại học mở thành phố hồ chí minh, ho chi minh city, viet nam"	12	289	20
