label	replace by
department for management of science and technology development, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
department of agricultural and resource economics, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of agro-environmental sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of animal health, ministry of agriculture and rural development, hanoi, viet nam	DEPARTMENT OF ANIMAL HEALTH
department of applied biological science, kagawa university, takamatsu, japan	KAGAWA UNIVERSITY
department of applied biology, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
department of applied chemistry, national chiao tung university, hsinchu, taiwan	NATIONAL CHIAO TUNG UNIVERSITY
department of applied chemistry, osaka metropolitan university, osaka, japan	OSAKA METROPOLITAN UNIVERSITY
department of applied chemistry, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of applied physics and chemistry, the university of electro-communications, chofu, japan	THE UNIVERSITY OF ELECTRO-COMMUNICATIONS
department of applied physics, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of architecture and civil engineering, toyohashi university of technology, toyohashi, japan	TOYOHASHI UNIVERSITY OF TECHNOLOGY
department of architecture, nihon university, tokyo, japan	NIHON UNIVERSITY
department of astronomy, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of astronomy, university of illinois urbana-champaign, urbana, united states	UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN
department of astrophysics, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
department of bacteriology i, national institute of infectious diseases, tokyo, japan	NATIONAL INSTITUTE OF INFECTIOUS DISEASES
department of bacteriology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY HANOI
department of bacteriology, national institute of hygiene and epidemiology, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY
department of biochemistry and molecular biology, gazipur agricultural university, gazipur, bangladesh	GAZIPUR AGRICULTURAL UNIVERSITY
department of bioinformatics and genomics, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
department of biological sciences, national university of singapore, singapore city, singapore	NATIONAL UNIVERSITY OF SINGAPORE
department of biological sciences, tokyo metropolitan university, hachioji, japan	TOKYO METROPOLITAN UNIVERSITY
department of biology, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of biology, chiba university, chiba, japan	CHIBA UNIVERSITY
department of biomolecular engineering, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
department of bioresource sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of bioscience and biotechnology, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of botany and microbiology, college of sciences, riyadh, saudi arabia	COLLEGE OF SCIENCES
department of botany, faculty of science, aswan, egypt	FACULTY OF SCIENCE
department of business and it, university of south-eastern norway, kongsberg, norway	UNIVERSITY OF SOUTH-EASTERN NORWAY
department of cardiology, national heart centre singapore, singapore city, singapore	NATIONAL HEART CENTRE SINGAPORE
department of chemical engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
department of chemical engineering, institut teknologi bandung, bandung, indonesia	INSTITUT TEKNOLOGI BANDUNG
department of chemistry, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of chemistry, chulalongkorn university, bangkok, thailand	CHULALONGKORN UNIVERSITY
department of chemistry, thammasat university, pathum thani, thailand	THAMMASAT UNIVERSITY
department of civil & environmental engineering, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
department of civil & environmental engineering, institute of science tokyo, tokyo, japan	INSTITUTE OF SCIENCE TOKYO
department of civil & environmental engineering, nagaoka university of technology, nagaoka, japan	NAGAOKA UNIVERSITY OF TECHNOLOGY
department of civil & environmental engineering, tokyo metropolitan university, hachioji, japan	TOKYO METROPOLITAN UNIVERSITY
department of civil & environmental engineering, waseda university, tokyo, japan	WASEDA UNIVERSITY
department of civil engineering, chulalongkorn university, bangkok, thailand	CHULALONGKORN UNIVERSITY
department of civil engineering, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of civil engineering, thuyloi university, hanoi, viet nam	THUYLOI UNIVERSITY
department of civil engineering, tohoku university, sendai, japan	TOHOKU UNIVERSITY
department of civil engineering, university of danang, da nang, viet nam	UNIVERSITY OF DANANG
department of civil engineering, yokohama national university, yokohama, japan	YOKOHAMA NATIONAL UNIVERSITY
department of clinical medicine, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of clinical product development, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of community and global health, graduate school of medicine, tokyo, japan	GRADUATE SCHOOL OF MEDICINE
department of computer and network engineering, the university of electro-communications, chofu, japan	THE UNIVERSITY OF ELECTRO-COMMUNICATIONS
department of crop sciences, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of dermatology and venereology, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
department of design of machinery and robot, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
department of development technology, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
department of developmental medical sciences, graduate school of medicine, tokyo, japan	GRADUATE SCHOOL OF MEDICINE
department of disease control, graduate school of veterinary medicine, sapporo, japan	GRADUATE SCHOOL OF VETERINARY MEDICINE
department of earth science education, seoul national university, seoul, south korea	SEOUL NATIONAL UNIVERSITY
department of earth sciences, yamaguchi university, yamaguchi, japan	YAMAGUCHI UNIVERSITY
department of electrical and electronic engineering, institute of science tokyo, tokyo, japan	INSTITUTE OF SCIENCE TOKYO
department of electrical and electronic information engineering, toyohashi university of technology, toyohashi, japan	TOYOHASHI UNIVERSITY OF TECHNOLOGY
