label	replace by
faculty of civil engineering, thuyloi university, hanoi, viet nam	THUYLOI UNIVERSITY
faculty of civil engineering, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of civil engineering, đại học công nghệ giao thông vận tải, hanoi, viet nam	FACULTY OF CIVIL ENGINEERING
faculty of civil engineering, đại học mở thành phố hồ chí minh, ho chi minh city, viet nam	FACULTY OF CIVIL ENGINEERING
faculty of contemporary human life science, tezukayama university, nara, japan	JAPAN
faculty of economics and rural development, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of electrical and electronics engineering, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of electronics and telecommunications, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of engineering physics and nanotechnology, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of environment and labour safety, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of environment and natural resources, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY - HCMUT
faculty of environment, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
faculty of environment, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of environmental and chemical engineering, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
faculty of environmental and food engineering, dại học nguyen tat thanh, ho chi minh city, viet nam	HO CHI MINH CITY
faculty of environmental earth science, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
faculty of environmental engineering, hanoi university of civil engineering, hanoi, viet nam	HANOI UNIVERSITY OF CIVIL ENGINEERING
faculty of environmental engineering, the university of kitakyushu, kitakyushu, japan	THE UNIVERSITY OF KITAKYUSHU
faculty of environmental science, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
faculty of environmental science, university of sciences, hue university, hue, viet nam	UNIVERSITY OF SCIENCE
faculty of environmental sciences, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of fisheries sciences, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
faculty of fisheries, kagoshima university, kagoshima, japan	KAGOSHIMA UNIVERSITY
faculty of fisheries, university of agriculture and forestry, hue university, hue, viet nam	UNIVERSITY OF AGRICULTURE AND FORESTRY
faculty of geology, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of geosciences and civil engineering, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
faculty of health sciences, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
faculty of information technology, ho chi minh city university of technology - hutech, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY - HUTECH
faculty of life and environmental sciences, university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
faculty of materials science and engineering, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
faculty of materials science and engineering, phenikaa university, hanoi, viet nam	PHENIKAA UNIVERSITY
faculty of materials science, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
faculty of materials technology, viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
faculty of mathematics and statistics, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of mathematics, mechanics and informatics, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of mechanical engineering, hcmc university of technology and education, ho chi minh city, viet nam	HCMC UNIVERSITY OF TECHNOLOGY AND EDUCATION
faculty of medicine - ain shams university, cairo, egypt	FACULTY OF MEDICINE
faculty of medicine ramathibodi hospital, mahidol university, bangkok, thailand	FACULTY OF MEDICINE
faculty of medicine, 6th october, egypt	FACULTY OF MEDICINE
faculty of medicine, alexandria, egypt	FACULTY OF MEDICINE
faculty of medicine, cairo, egypt	FACULTY OF MEDICINE
faculty of medicine, minya, egypt	FACULTY OF MEDICINE
faculty of medicine, pham ngoc thach university of medicine, ho chi minh city, viet nam	FACULTY OF MEDICINE
faculty of medicine, tanta, egypt	FACULTY OF MEDICINE
faculty of medicine, universitas udayana, bali, indonesia	FACULTY OF MEDICINE
faculty of medicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
faculty of natural sciences, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
faculty of pharmaceutical sciences, tokushima bunri university, tokushima, japan	TOKUSHIMA BUNRI UNIVERSITY
faculty of pharmacy, lac hong university, bien hoa, viet nam	LAC HONG UNIVERSITY
faculty of pharmacy, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of pharmacy, university medicine and pharmacy, hue university, hue, viet nam	UNIVERSITY MEDICINE AND PHARMACY
faculty of physics and engineering physics, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
faculty of physics, trường đại học sư phạm hà nội, hanoi, viet nam	HANOI
faculty of physics, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of public health, haiphong university, haiphong, viet nam	HAIPHONG UNIVERSITY
faculty of public health, university medicine and pharmacy, hue university, hue, viet nam	UNIVERSITY MEDICINE AND PHARMACY
faculty of public health, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
faculty of radio-electronic engineering, le quy don technical university, hanoi, viet nam	LE QUY DON TECHNICAL UNIVERSITY
faculty of software and information science, iwate prefectural university, iwate district, japan	IWATE PREFECTURAL UNIVERSITY
faculty of transportation mechanical engineering, university of danang, da nang, viet nam	UNIVERSITY OF DANANG
faculty of veterinary medicine, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of veterinary science, prince of songkla university, hatyai, thailand	PRINCE OF SONGKLA UNIVERSITY
faculty of water resources engineering, thuyloi university, hanoi, viet nam	THUYLOI UNIVERSITY
forestry and forest products research institute, tsukuba, japan	FORESTRY AND FOREST PRODUCTS RESEARCH INSTITUTE
fpt university, hanoi, viet nam	FPT UNIVERSITY
fukuoka institute of health and environmental sciences, dazaifu, japan	FUKUOKA INSTITUTE OF HEALTH AND ENVIRONMENTAL SCIENCES
geographic information science research group, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
geological survey of japan, tsukuba, japan	JAPAN
gifu university, gifu, japan	GIFU UNIVERSITY
global coe program, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
global collaboration center, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
goal-oriented technology research group, riken center for advanced intelligence project, tokyo, japan	RIKEN CENTER FOR ADVANCED INTELLIGENCE PROJECT
graduate school for international development and cooperation, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
graduate school of advanced science and engineering, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
graduate school of agricultural and life sciences the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
graduate school of agricultural and life sciences, graduate school of agricultural and life sciences the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
graduate school of agricultural and life sciences, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
graduate school of agriculture, ehime university, matsuyama, japan	EHIME UNIVERSITY
graduate school of agriculture, kyoto university, kyoto, japan	KYOTO UNIVERSITY
graduate school of asia pacific studies, ritsumeikan asia pacific university, beppu, japan	RITSUMEIKAN ASIA PACIFIC UNIVERSITY
graduate school of bioagricultural sciences, nagoya university, nagoya, japan	NAGOYA UNIVERSITY
graduate school of biomedical sciences, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
graduate school of biomedical sciences, nagasaki, japan	GRADUATE SCHOOL OF BIOMEDICAL SCIENCES
graduate school of bioresource and bioenvironmental sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
graduate school of biosphere science, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
graduate school of engineering science, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
graduate school of engineering, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
graduate school of engineering, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
graduate school of environmental and life science, okayama university, okayama, japan	OKAYAMA UNIVERSITY
graduate school of environmental engineering, the university of kitakyushu, kitakyushu, japan	THE UNIVERSITY OF KITAKYUSHU
graduate school of environmental science, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
graduate school of environmental studies, nagoya university, nagoya, japan	NAGOYA UNIVERSITY
graduate school of fisheries and environmental sciences, nagasaki, japan	GRADUATE SCHOOL OF FISHERIES AND ENVIRONMENTAL SCIENCES
graduate school of fisheries sciences, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
graduate school of frontier sciences, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
graduate school of global environmental studies, kyoto university, kyoto, japan	KYOTO UNIVERSITY
graduate school of global environmental studies, kyoto, japan	GRADUATE SCHOOL OF GLOBAL ENVIRONMENTAL STUDIES
graduate school of horticulture, chiba university, chiba, japan	CHIBA UNIVERSITY
graduate school of human and environmental studies, kyoto university, kyoto, japan	KYOTO UNIVERSITY
graduate school of human and environmental studies, kyoto, japan	GRADUATE SCHOOL OF HUMAN AND ENVIRONMENTAL STUDIES
graduate school of humanities and sciences, ochanomizu university, tokyo, japan	OCHANOMIZU UNIVERSITY
graduate school of humanities and sustainable system sciences, osaka metropolitan university, osaka, japan	OSAKA METROPOLITAN UNIVERSITY
graduate school of integrated sciences for global society, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
graduate school of integrated sciences for life, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
graduate school of international social sciences, yokohama, japan	GRADUATE SCHOOL OF INTERNATIONAL SOCIAL SCIENCES
graduate school of life and environmental sciences, university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
graduate school of life sciences, tohoku university, sendai, japan	TOHOKU UNIVERSITY
graduate school of mathematical sciences, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
graduate school of medical science, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
graduate school of natural science and technology, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
graduate school of pharmaceutical sciences, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
graduate school of public health, st. luke’s international university, tokyo, japan	ST. LUKE’S INTERNATIONAL UNIVERSITY
graduate school of science and engineering, ehime university, matsuyama, japan	EHIME UNIVERSITY
graduate school of science and engineering, ritsumeikan university biwako-kusatsu campus, kusatsu, japan	RITSUMEIKAN UNIVERSITY BIWAKO-KUSATSU CAMPUS
graduate school of science and engineering, saitama university, saitama, japan	SAITAMA UNIVERSITY
graduate school of science and technology, gunma university, maebashi, japan	GUNMA UNIVERSITY
graduate school of science and technology, kumamoto university, kumamoto, japan	KUMAMOTO UNIVERSITY
graduate school of sciences and technology for innovation, yamaguchi university, yamaguchi, japan	YAMAGUCHI UNIVERSITY
gsi helmholtz centre for heavy ion research gmbh, darmstadt, germany	GSI HELMHOLTZ CENTRE FOR HEAVY ION RESEARCH GMBH
gunma university, maebashi, japan	GUNMA UNIVERSITY
hanoi college of pharmacy, hanoi, viet nam	HANOI
hanoi department of health, hanoi, viet nam	HANOI
hanoi institute of mathematics, hanoi, viet nam	HANOI INSTITUTE OF MATHEMATICS
hanoi lung hospital, hanoi, viet nam	HANOI LUNG HOSPITAL
hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
hanoi metropolitan university, hanoi, viet nam	HANOI
hanoi school of public health, hanoi, viet nam	HANOI SCHOOL OF PUBLIC HEALTH
hanoi university of civil engineering, hanoi, viet nam	HANOI UNIVERSITY OF CIVIL ENGINEERING
hanoi university of industry, hanoi, viet nam	HANOI UNIVERSITY OF INDUSTRY
hanoi university of mining and geology, hanoi, viet nam	HANOI UNIVERSITY OF MINING AND GEOLOGY
hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
hcmc institute of resources geography, vast, ho chi minh city, viet nam	HCMC INSTITUTE OF RESOURCES GEOGRAPHY
health service center, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
high energy accelerator research organization, tsukuba, tsukuba, japan	HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION
hiroshima university graduate school of biomedical and health sciences, hiroshima, japan	HIROSHIMA UNIVERSITY
hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
ho chi minh city university of industry and trade, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF INDUSTRY AND TRADE
ho chi minh city university of technology - hcmut, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY - HCMUT
ho chi minh city university of technology - hutech, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY - HUTECH
hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
horia hulubei national institute for r&d in physics and nuclear engineering, magurele, romania	NATIONAL INSTITUTE
hospital sungai buloh, sungai buloh, malaysia	HOSPITAL SUNGAI BULOH
hun-ren institute for nuclear research, debrecen, hungary	HUN-REN INSTITUTE FOR NUCLEAR RESEARCH
hydraulic construction institute, vietnam academy for water resources, hanoi, viet nam	HANOI
in2p3 - institut national de physique nucléaire et de physique des particules, paris, france	PARIS
infectious disease surveillance center, national institute of infectious diseases, tokyo, japan	NATIONAL INSTITUTE OF INFECTIOUS DISEASES
innovative clinical research center, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
innovative global program, shibaura institute of technology, tokyo, japan	SHIBAURA INSTITUTE OF TECHNOLOGY
insect ecology department, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF ECOLOGY AND BIOLOGICAL RESOURCES
institute for agro-environmental sciences, naro, tsukuba, japan	INSTITUTE FOR AGRO-ENVIRONMENTAL SCIENCES
institute for basic science, daejeon, daejeon, south korea	INSTITUTE FOR BASIC SCIENCE
institute for environment and resources, viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
institute for global environmental strategies, hayama, japan	INSTITUTE FOR GLOBAL ENVIRONMENTAL STRATEGIES
institute for nuclear science and technique, vietnam atomic energy institute, hanoi, viet nam	VIETNAM ATOMIC ENERGY INSTITUTE
institute for preventive medicine and public health, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
institute for space-earth environmental research, nagoya university, nagoya, japan	NAGOYA UNIVERSITY
institute for tropical technology, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of advanced sciences, yokohama national university, yokohama, japan	YOKOHAMA NATIONAL UNIVERSITY
institute of agricultural genetics, hanoi, viet nam	HANOI
institute of agrobiological sciences, naro, tsukuba, japan	INSTITUTE OF AGROBIOLOGICAL SCIENCES
institute of archaeology, hanoi, viet nam	INSTITUTE OF ARCHAEOLOGY
institute of archaeology, vietnam academy of social sciences, hanoi, viet nam	INSTITUTE OF ARCHAEOLOGY
institute of astronomy, national tsing hua university, hsinchu, taiwan	NATIONAL TSING HUA UNIVERSITY
institute of biomedicine and pharmacy, vietnam military medical university, hanoi, viet nam	VIETNAM MILITARY MEDICAL UNIVERSITY
institute of biotechnology, vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF BIOTECHNOLOGY
institute of engineering innovation, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
institute of engineering physics, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
institute of environmental technology, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of fundamental and applied sciences, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
institute of genome research, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of geography, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of geological sciences, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of geophysics, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of industrial science, tokyo, japan	INSTITUTE OF INDUSTRIAL SCIENCE
institute of infectious diseases, pune, india	INSTITUTE OF INFECTIOUS DISEASES
institute of laser engineering, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
institute of livestock and grassland science, naro, tsukuba, japan	INSTITUTE OF LIVESTOCK AND GRASSLAND SCIENCE
institute of marine environment and resources, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
institute of materials science, vietnamese academy of science and technology institute of materials science, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF MATERIALS SCIENCE
institute of mathematics, hanoi institute of mathematics, hanoi, viet nam	HANOI INSTITUTE OF MATHEMATICS
institute of medical science, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
institute of microbiology and biotechnology, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
institute of modern physics chinese academy of sciences, lanzhou, china	CHINESE ACADEMY OF SCIENCES
institute of multidisciplinary research for advanced materials, tohoku university, sendai, japan	TOHOKU UNIVERSITY
institute of natural medicine, university of toyama, toyama, japan	UNIVERSITY OF TOYAMA
institute of philosophy, vietnam academy of social sciences, hanoi, viet nam	HANOI
institute of physics, vietnamese academy of science and technology institute of physics and electronics, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF PHYSICS AND ELECTRONICS
institute of plant science and resources, okayama university, okayama, japan	OKAYAMA UNIVERSITY
institute of public health, ho chi minh city, viet nam	INSTITUTE OF PUBLIC HEALTH
institute of research and development, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
institute of science tokyo, tokyo, japan	INSTITUTE OF SCIENCE TOKYO
institute of theoretical and applied research, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
institute of transport science and technology, hanoi, viet nam	HANOI
institute of tropical agriculture, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
institute of tropical medicine, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
instituto andaluz interuniversitario en data science and computational intelligence, granada, spain	INSTITUTO ANDALUZ INTERUNIVERSITARIO EN DATA SCIENCE AND COMPUTATIONAL INTELLIGENCE
interdisciplinary graduate school of engineering sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
international collaboration unit, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
international rice research institute, makati, philippines	INTERNATIONAL RICE RESEARCH INSTITUTE
international school, hue university, hue, viet nam	HUE UNIVERSITY
international training institute for materials science, hanoi, viet nam	INTERNATIONAL TRAINING INSTITUTE FOR MATERIALS SCIENCE
international university of japan, minamiuonuma, japan	INTERNATIONAL UNIVERSITY OF JAPAN
iriomote station, university of the ryukyus, nishihara, japan	UNIVERSITY OF THE RYUKYUS
istituto di calcolo e reti ad alte prestazioni, rende, rende, italy	ISTITUTO DI CALCOLO E RETI AD ALTE PRESTAZIONI
iwate prefectural university, iwate district, japan	IWATE PREFECTURAL UNIVERSITY
iwate university, morioka, japan	IWATE UNIVERSITY
james cook university, townsville, australia	JAMES COOK UNIVERSITY
japan advanced institute of science and technology, nomi, japan	JAPAN ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
japan atomic energy agency, kashiwa, japan	JAPAN
japan international cooperation agency, tokyo, japan	TOKYO
japan international research center for agricultural sciences, tsukuba, japan	JAPAN INTERNATIONAL RESEARCH CENTER FOR AGRICULTURAL SCIENCES
japan science and technology agency, kawaguchi, japan	JAPAN SCIENCE AND TECHNOLOGY AGENCY
japan society for the promotion of science, tokyo, japan	TOKYO
japan synchrotron radiation research institute, sayo district, japan	JAPAN SYNCHROTRON RADIATION RESEARCH INSTITUTE
jiangsu province wind power structural engineering research center, nanjing, china	RESEARCH
joining and welding research institute, ibaraki, japan	JOINING AND WELDING RESEARCH INSTITUTE
kagoshima university, kagoshima, japan	KAGOSHIMA UNIVERSITY
kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
keio university, tokyo, japan	KEIO UNIVERSITY
key laboratory of advanced waste treatment technology, viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
key laboratory of mollisols agroecology, northeast institute of geography and agroecology, changchun, china	NORTHEAST INSTITUTE OF GEOGRAPHY AND AGROECOLOGY
khanh hoa health service, nha trang, viet nam	KHANH HOA HEALTH SERVICE
kobe university, kobe, japan	KOBE UNIVERSITY
komarov botanical institute, russian academy of sciences, saint petersburg, russian federation	KOMAROV BOTANICAL INSTITUTE
korea astronomy and space science institute, daejeon, south korea	KOREA ASTRONOMY AND SPACE SCIENCE INSTITUTE
kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
kyoto university, kyoto, japan	KYOTO UNIVERSITY
kyushu okinawa agricultural research center naro, koshi, japan	KYUSHU OKINAWA AGRICULTURAL RESEARCH CENTER NARO
kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
laboratory for nanotechnology, viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
laboratory of advanced materials, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
laboratory of organic geochemistry, tokyo university of agriculture and technology, fuchu, japan	TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY
laboratory of wildlife biology, obihiro university of agriculture and veterinary medicine, obihiro, japan	OBIHIRO UNIVERSITY OF AGRICULTURE AND VETERINARY MEDICINE
le quy don technical university, hanoi, viet nam	LE QUY DON TECHNICAL UNIVERSITY
livestock and environment division, japan international research center for agricultural sciences, tsukuba, japan	JAPAN INTERNATIONAL RESEARCH CENTER FOR AGRICULTURAL SCIENCES
london school of hygiene & tropical medicine, london, united kingdom	LONDON
master's program in environmental engineering, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
ministry of health vitenam, hanoi, viet nam	MINISTRY OF HEALTH VITENAM
monash university, melbourne, australia	MONASH UNIVERSITY
nagaoka university of technology, nagaoka, japan	NAGAOKA UNIVERSITY OF TECHNOLOGY
nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
nagoya institute of technology, nagoya, japan	NAGOYA INSTITUTE OF TECHNOLOGY
nagoya university, nagoya, japan	NAGOYA UNIVERSITY
nanotechnology program, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
nara institute of science and technology, ikoma, japan	NARA INSTITUTE OF SCIENCE AND TECHNOLOGY
national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
national economics university hanoi, hanoi, viet nam	NATIONAL ECONOMICS UNIVERSITY HANOI
national graduate institute for policy studies, minato, japan	NATIONAL GRADUATE INSTITUTE FOR POLICY STUDIES
national heart centre singapore, singapore city, singapore	NATIONAL HEART CENTRE SINGAPORE
national hospital for tropical diseases, hanoi, viet nam	NATIONAL HOSPITAL FOR TROPICAL DISEASES
national hospital of tropical diseases, hanoi, viet nam	NATIONAL HOSPITAL OF TROPICAL DISEASES
national institute for environmental studies of japan, tsukuba, japan	NATIONAL INSTITUTE FOR ENVIRONMENTAL STUDIES OF JAPAN
national institute for materials science, tsukuba, japan	NATIONAL INSTITUTE FOR MATERIALS SCIENCE
national institute of advanced industrial science and technology, tsukuba, japan	NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TECHNOLOGY
national institute of animal health, naro, tsukuba, japan	NATIONAL INSTITUTE OF ANIMAL HEALTH
national institute of hygiene and epidemiology hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY HANOI
national institute of hygiene and epidemiology, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY
national institute of infectious diseases, tokyo, japan	NATIONAL INSTITUTE OF INFECTIOUS DISEASES
national institute of information and communications technology, koganei, japan	NATIONAL INSTITUTE OF INFORMATION AND COMMUNICATIONS TECHNOLOGY
national institute of malariology, parasitology and entomology hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF MALARIOLOGY
national institute of medicinal materials, hanoi, viet nam	NATIONAL INSTITUTE OF MEDICINAL MATERIALS
national institute of nutrition vietnam, hanoi, viet nam	NATIONAL INSTITUTE OF NUTRITION VIETNAM
national institute of technology and evaluation, tokyo, japan	NATIONAL INSTITUTE OF TECHNOLOGY AND EVALUATION
national institute of veterinary research hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF VETERINARY RESEARCH HANOI
national institutes for the humanities, research institute for humanity and nature, kyoto, japan	RESEARCH INSTITUTE
national institutes of natural sciences - national astronomical observatory of japan, mitaka, japan	NATIONAL INSTITUTES OF NATURAL SCIENCES - NATIONAL ASTRONOMICAL OBSERVATORY OF JAPAN
national radio astronomy observatory, charlottesville, united states	NATIONAL RADIO ASTRONOMY OBSERVATORY
national university of singapore, singapore city, singapore	NATIONAL UNIVERSITY OF SINGAPORE
ncgm-bmh medical collaboration center, hanoi, viet nam	HANOI
new industry creation hatchery center, tohoku university, sendai, japan	TOHOKU UNIVERSITY
nha trang pasteur institute, khanh hoa province, viet nam	NHA TRANG PASTEUR INSTITUTE
niels bohr institutet, copenhagen, denmark	NIELS BOHR INSTITUTET
niigata university, niigata, japan	NIIGATA UNIVERSITY
nong lam university, ho chi minh city, ho chi minh city, viet nam	NONG LAM UNIVERSITY
ntt hi-tech institute, dại học nguyen tat thanh, ho chi minh city, viet nam	HO CHI MINH CITY
obihiro university of agriculture and veterinary medicine, obihiro, japan	OBIHIRO UNIVERSITY OF AGRICULTURE AND VETERINARY MEDICINE
ocean research institute, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
okayama university, okayama, japan	OKAYAMA UNIVERSITY
online research club (http://www.onlineresearchclub.org), nagasaki, japan	ONLINE RESEARCH CLUB
online research club, nagasaki, japan	ONLINE RESEARCH CLUB
osaka institute of public health, osaka, japan	INSTITUTE OF PUBLIC HEALTH
osaka metropolitan university, osaka, japan	OSAKA METROPOLITAN UNIVERSITY
osaka museum of natural history, osaka, japan	OSAKA
oxford university clinical research unit, ho chi minh city, viet nam	OXFORD UNIVERSITY CLINICAL RESEARCH UNIT
pasteur institute in ho chi minh city, ho chi minh city, viet nam	PASTEUR INSTITUTE IN HO CHI MINH CITY
peking university, beijing, china	PEKING UNIVERSITY
pham ngoc thach university of medicine, ho chi minh city, viet nam	PHAM NGOC THACH UNIVERSITY OF MEDICINE
pharmaceutical and health sciences, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
plant genomic network research team, riken center for sustainable resource science, yokohama, japan	RIKEN CENTER FOR SUSTAINABLE RESOURCE SCIENCE
plant protection research institute, hanoi, viet nam	HANOI
