"","Authors","Author.full.names","Author.s..ID","Title","Year","Source.title","Volume","Issue","Art..No.","Page.start","Page.end","Page.count","Cited.by","DOI","Link","Affiliations","Authors.with.affiliations","Abstract","Author.Keywords","Index.Keywords","Molecular.Sequence.Numbers","Chemicals.CAS","Funding.Texts","References","Editors","Publisher","Sponsors","Conference.name","Conference.date","Conference.location","Conference.code","ISSN","ISBN","CODEN","PubMed.ID","Language.of.Original.Document","Document.Type","Publication.Stage","Open.Access","Source","EID"
"1","Le Kien, F.; Balykin, V.I.","Le Kien, Fam L. (6603706610); Balykin, Victor I. (57205858522)","6603706610; 57205858522","Atom cooling by VSCPT: Accumulation plus filtering",1999,"Zhurnal Eksperimental'noi i Teroreticheskoi Fiziki","115","2","","449","462",0,0,"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-19844380672&partnerID=40&md5=67add9e6f74dd92020fb7d6af3dc137e","Institute for Laser Science, The University of Electro-Communications, Chofu, Japan; Department of Physics, Hanoi University, Hanoi, Viet Nam; Institute of Spectroscopy, Institute of Spectroscopy, Russian Academy of Sciences, Troitsk, Russian Federation","Le Kien, Fam L., Institute for Laser Science, The University of Electro-Communications, Chofu, Japan, Department of Physics, Hanoi University, Hanoi, Viet Nam; Balykin, Victor I., Institute for Laser Science, The University of Electro-Communications, Chofu, Japan, Institute of Spectroscopy, Institute of Spectroscopy, Russian Academy of Sciences, Troitsk, Russian Federation","We study laser cooling by velocity-selective coherent population trapping (VSCPT) in a double-Λ scheme with decay beyond the working levels. We show that this additional decay channel filters diffused atoms from trapped ones and provides an ultrasharp atomic momentum distribution. © 2005 Elsevier B.V., All rights reserved.","","","","","","Alzetta, G., An experimental method for the observation of r.f. transitions and laser beat resonances in oriented Na vapour, Nuovo Cimento della Societa Italiana di Fisica B, 36, 1, pp. 5-20, (1976); Laser Physics Lecture Notes in Physics, (1983); Yoo, H. I., Dynamical theory of an atom with two or three levels interacting with quantized cavity fields, Physics Reports, 118, 5, pp. 239-337, (1985); Interaction of Radiation with Matter Volume in Honor of Adriano Gozzini, (1987); Agap’ Ev, B. D., Coherent population trapping in quantum systems, Physics-Uspekhi, 36, 9, pp. 763-793, (1993); Arimondo, Ennio, V Coherent Population Trapping in Laser Spectroscopy, Progress in Optics, 35, C, pp. 257-354, (1996); Aspect, Alain, Laser cooling below the one-photon recoil energy by velocity-selective coherent population trapping, Physical Review Letters, 61, 7, pp. 826-829, (1988); C R Acad Sci Paris, (1994); Lawall, John R., Two-dimensional subrecoil laser cooling, Physical Review Letters, 73, 14, pp. 1915-1918, (1994); Doery, Marya R., Population accumulation in dark states and subrecoil laser cooling, Physical Review A - Atomic, Molecular, and Optical Physics, 52, 3, pp. 2295-2301, (1995)","","","","",NA,"",NA,"00444510","","ZETFA",NA,"English","Article","Final","","Scopus","2-s2.0-19844380672"
"2","Nguyen, Q.T.; Kozai, T.; van Nguyen, U.","Nguyen, Quynh Thi (7202088867); Kozai, Toyoki (57202508972); van Nguyen, Uyen (6508338856)","7202088867; 57202508972; 6508338856","Effects of sucrose concentration, supporting material and number of air exchanges of the vessel on the growth of in vitro coffee plantlets",1999,"Plant Cell, Tissue and Organ Culture","58","1","","51","57",0,44,"10.1023/A:1006310328743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343963080&doi=10.1023%2FA%3A1006310328743&partnerID=40&md5=b06d27c75b41ab4063a086ef4447ed7f","Laboratory of Environmental Control Engineering, Chiba University, Chiba, Japan; Department of Plant Cell Technology, Vietnamese Academy of Science and Technology Institute of Tropical Biology, Dalat, Viet Nam","Nguyen, Quynh Thi, Laboratory of Environmental Control Engineering, Chiba University, Chiba, Japan, Department of Plant Cell Technology, Vietnamese Academy of Science and Technology Institute of Tropical Biology, Dalat, Viet Nam; Kozai, Toyoki, Laboratory of Environmental Control Engineering, Chiba University, Chiba, Japan; van Nguyen, Uyen, Department of Plant Cell Technology, Vietnamese Academy of Science and Technology Institute of Tropical Biology, Dalat, Viet Nam","Growth of coffee (Coffea arabusta) plantlets cultured in vitro as affected by sugar, types of supporting material and number of air exchanges of the vessel was investigated. Single node cuttings of in vitro coffee plantlets were cultured on half strength MS medium with or without 20 g l-1 sucrose. Two types of supporting material, agar and Florialite, and two levels of air exchange expressed by number of air exchanges per vessel, 0.2 and 2.3 h-1, were studied. At the end of a 40-day culture period, fresh weight, shoot length, root length and leaf area of plantlets when cultured on Florialite soaked in sugar-free medium and under the higher number of air exchanges were greater than those in sugar containing medium. Callus was observed at the shoot base of plantlets grown on agar medium containing sucrose. Photosynthetic ability of coffee plantlets in vitro was also significantly increased when grown on sugar-free medium with the high number of air exchanges and Florialite as a supporting material. © 2004 Elsevier Science B.V., Amsterdam. All rights reserved.","CO2 compensation point; Coffea arabusta; Dissolved O2 diffusivity; Florialite; Hyperhydricity; Rubisco","Coffea arabusta","","","","Cafe Cacao the, (1972); Acta Hort, (1992); Ecophysiology and Photosynthetic in Vitro Cultures, (1995); Cafe Cacao the, (1980); Micropropagation, (1991); Fujiwara, Kazuhiro, Fundamental Studies on Environments in Plant Tissue Culture Vessels (3) Measurements of Carbon Dioxide Gas Concentration in Closed Vessels Containing Tissue Cultured Plantlets and Estimates of Net Photosynthetic Rates of the Plantlets, Journal of Agricultural Meteorology, 43, 1, pp. 21-30, (1987); Automation and Environmental Control in Plant Tissue Culture, (1995); Hdider, Chafik, Effects of sucrose on photosynthesis and phosphoenolpyruvate carboxylase activity of in vitro cultured strawberry plantlets, Plant Cell, Tissue and Organ Culture, 36, 1, pp. 27-33, (1994); Infante, Rodrigo, The role of light and CO2 in optimising the conditions for shoot proliferation of Actinidia deliciosa in vitro, Physiologia Plantarum, 77, 2, pp. 191-195, (1989); Kozai, Toyoki, Fundamental Studies on Environments in Plant Tissue Culture Vessels (2) Effects of Stoppers and Vessels on Gas Exchange Rates between Inside and Outside of Vessels Closed with Stoppers, Journal of Agricultural Meteorology, 42, 2, pp. 119-127, (1986)","","","","",NA,"",NA,"15735044; 01676857","","PTCED",NA,"English","Article","Final","","Scopus","2-s2.0-0343963080"
"3","Ang, D.D.; Trong, D.D.; Yamamoto, M.","Ang, Dangdinh (7006457277); Trong, Dang Duc (26325254600); Yamamoto, Masahiro (35175444300)","7006457277; 26325254600; 35175444300","Identification of cavities inside two-dimensional heterogeneous isotropic elastic bodies",1999,"Journal of Elasticity","56","3","","199","212",0,14,"10.1023/A:1007661505879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033294043&doi=10.1023%2FA%3A1007661505879&partnerID=40&md5=8ae2365ed86e61d1e65bdc24044c83bd","Department of Mathematics, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Graduate School of Mathematical Sciences, The University of Tokyo, Tokyo, Japan","Ang, Dangdinh, Department of Mathematics, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Trong, Dang Duc, Department of Mathematics, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Yamamoto, Masahiro, Graduate School of Mathematical Sciences, The University of Tokyo, Tokyo, Japan","In this paper, we discuss the uniqueness in determining cavities (i.e., nonrectilinear cracks) in a heterogeneous isotropic elastic medium in two dimensions. Our main result asserts that there is at most one cavity in the elastic medium which yields the same surface displacements and stresses on an arbitarily small portion of the boundary. The boundaries of cavities are assumed to be piecewise smooth and admit edges where no net force is exerted. The key of the proof is the unique continuation for the isotropic Lame system and geometric considerations. © 2004 Elsevier Science B.V., Amsterdam. All rights reserved.","","Boundary conditions; Elasticity; Electrostatics; Navier Stokes equations; Stresses; Isotropic elasticity; Plane stress; Surface stress; Cracks","","","","Alessandrini, Giovanni, Stable determination of a crack from boundary measurements, Proceedings of the Royal Society of Edinburgh Section A: Mathematics, 123, 3, pp. 497-516, (1993); Alessandrini, Giovanni, Examples of instability in inverse boundary-value problems, Inverse Problems, 13, 4, pp. 887-897, (1997); Andrieux, Stéphane, On the identification of planar cracks in elasticity via reciprocity gap concept, Comptes Rendus de l'Academie des Sciences - Series I: Mathematics, 324, 12, pp. 1431-1438, (1997); Ang, Dangdinh, Unique continuation for a stationary isotropic lamé system with variable coefficients, Communications in Partial Differential Equations, 23, 1-2, pp. 371-385, (1998); Ding Ang, Dang, Unique continuation and identification of boundary of an elastic body, Journal of Inverse and Ill-Posed Problems, 3, 6, pp. 417-428, (1995); Ang, Dangdinh, Combined stresses in an orthotropic plate having a finite crack, Journal of Applied Mechanics, 28, 3, pp. 372-378, (1960); Beretta, Elena, Stable determination of boundaries from cauchy data, SIAM Journal on Mathematical Analysis, 30, 1, pp. 220-232, (1998); Bukhgeǐm, Alexander L., Stability for an inverse boundary problem of determining a part of a boundary, Inverse Problems, 15, 4, pp. 1021-1032, (1999); Indiana Univ Math J, (1989); Indiana Univ Math J, (1989)","","Kluwer Academic Publishers","","",NA,"",NA,"03743535; 15732681","","JELSA",NA,"English","Article","Final","","Scopus","2-s2.0-0033294043"
"4","Konoshima, T.; Takasaki, M.; Ichiishi, E.; Murakami, T.; Tokuda, H.; Nishino, H.; Duc, N.M.; Kasai, R.; Yamasaki, K.","Konoshima, Takao (7005719464); Takasaki, Midori (7102841259); Ichiishi, Eiichiro (6603828791); Murakami, Teruo (37022257300); Tokuda, Harunkuni (35425787200); Nishino, Hoyoku (7201979509); Duc, Nguyenminh (57195912916); Kasai, Ryoji (35495270400); Yamasaki, Kazuo (7402178459)","7005719464; 7102841259; 6603828791; 37022257300; 35425787200; 7201979509; 57195912916; 35495270400; 7402178459","Cancer chemopreventive activity of majonoside-R2 from Vietnamese ginseng, Panax vietnamensis",1999,"Cancer Letters","147","1-2","","11","16",0,74,"10.1016/S0304-3835(99)00257-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032709708&doi=10.1016%2FS0304-3835%2899%2900257-8&partnerID=40&md5=c42c1c4443c1833c20fb2e9ede354a34","Kyoto Pharmaceutical University, Kyoto, Japan; Kyoto Prefectural University of Medicine, Kyoto, Japan; University of Medicine and Pharmacy at HCMC, Ho Chi Minh City, Viet Nam; Inst. Pharmaceut. Sci., Hiroshima University School of Medicine, Hiroshima, Japan","Konoshima, Takao, Kyoto Pharmaceutical University, Kyoto, Japan; Takasaki, Midori, Kyoto Pharmaceutical University, Kyoto, Japan; Ichiishi, Eiichiro, Kyoto Prefectural University of Medicine, Kyoto, Japan; Murakami, Teruo, Kyoto Prefectural University of Medicine, Kyoto, Japan; Tokuda, Harunkuni, Kyoto Prefectural University of Medicine, Kyoto, Japan; Nishino, Hoyoku, Kyoto Prefectural University of Medicine, Kyoto, Japan; Duc, Nguyenminh, University of Medicine and Pharmacy at HCMC, Ho Chi Minh City, Viet Nam; Kasai, Ryoji, Inst. Pharmaceut. Sci., Hiroshima University School of Medicine, Hiroshima, Japan; Yamasaki, Kazuo, Inst. Pharmaceut. Sci., Hiroshima University School of Medicine, Hiroshima, Japan","In the course of our continuing search for novel cancer chemopreventive agents from natural sources, several kinds of Panax plants were screened. Consequently, the ocotillol-type saponin, majonoside-R2 (MR2), was obtained from the rhizome and root of Panax vietnamensis (Vietnamese ginseng) as an active constituent. MR2 exhibited potent anti-tumor-promoting activity on two-stage carcinogenesis test of mouse hepatic tumor using N-nitrosodiethylamine (DEN) as an initiator and phenobarbital (PB) as a promoter. Further, MR2 exhibited the remarkable inhibitory effect on two-stage carcinogenesis test of mouse skin induced by nitric oxide (NO) donor/12-O-tetradecanoylphorbol-13-acetate (TPA) or peroxynitrite/TPA. Copyright (C) 1999 Elsevier Science Ireland Ltd. © 2007 Elsevier B.V., All rights reserved.; Medline is the source for the MeSH terms of this document.","Cancer chemopreventive activity; Hepatic tumor inhibitor; Majonoside-R2; NOR1; Panax vietnamensis; Peroxinitrite","antineoplastic agent; diethylnitrosamine; majonoside r2; nitric oxide donor; panax vietnamensis extract; peroxynitrite; phenobarbital; phorbol 13 acetate 12 myristate; plant extract; saponin; unclassified drug; animal experiment; animal model; article; cancer prevention; chemoprophylaxis; controlled study; drug isolation; female; liver cancer; liver carcinogenesis; mouse; nonhuman; oral drug administration; plant root; priority journal; screening; skin cancer; skin carcinogenesis; tumor promotion; Alkylating Agents; Animals; Anticarcinogenic Agents; Carcinogenicity Tests; Carcinogens; Diethylnitrosamine; Female; Focal Nodular Hyperplasia; Ginsenosides; Liver Neoplasms, Experimental; Mice; Mice, Inbred ICR; Mice, Inbred SENCAR; Nitrates; Nitro Compounds; Panax; Papilloma; Phenobarbital; Plants, Medicinal; Saponins; Skin Neoplasms; Tetradecanoylphorbol Acetate; Vietnam; ginseng panax; Panax ginseng; Panax vietnamensis","","Alkylating Agents, 0; Anticarcinogenic Agents, 0; Carcinogens, 0; Diethylnitrosamine, 55-18-5; Ginsenosides, 0; majonoside R2, 81534-63-6; methyl-2-hydroxyimino-5-nitro-6-methoxy-3-hexeneamide, 0; Nitrates, 0; Nitro Compounds, 0; peroxynitric acid, 26404-66-0; Phenobarbital, 50-06-6; Saponins, 0; Tetradecanoylphorbol Acetate, 16561-29-8","This work was supported in part by grant No. 09672145 from the Ministry of Education, Science, Sports and Culture, and Ministry of Health and Welfare, Japan, and also supported by the Frontier Research Program of the Ministry of Education, Science and Culture of Japan.","Herba Polonica, (1989); Duc, Nguyenminh, Saponins from Vietnamese Ginseng, Panax vietnamensis haet grushv. Collected in Central Vietnam. I, Chemical and Pharmaceutical Bulletin, 41, 11, pp. 2010-2014, (1993); Duc, Nguyenminh, Saponins from Vietnamese Ginseng, Panax vietnamensis Haet Grushv. Collected in Central Vietnam. II, Chemical and Pharmaceutical Bulletin, 42, 1, pp. 115-122, (1994); Duc, Nguyenminh, Saponins from Vietnamese Ginseng, Panax vietnamensis Ha et Grushv. Collected in Central Vietnam. III, Chemical and Pharmaceutical Bulletin, 42, 3, pp. 634-640, (1994); Huong, Nguyen Thi Thu, Effects of majonoside-R2 on pentobarbital sleep and gastric lesion in psychologically stressed mice, Pharmacology Biochemistry and Behavior, 53, 4, pp. 957-963, (1996); Berenblum, Isaac, The Mechanism of Carcinogenesis: A Study of the Significance of Cocarcinogenic Action and Related Phenomena, Cancer Research, 1, 10, pp. 807-814, (1941); Konishi, Tenji, Anti-tumor-promoting activity of diterpenes from Excoecaria agallocha, Biological and Pharmaceutical Bulletin, 21, 9, pp. 993-996, (1998); Kapadia, Govind J., Chemoprevention of lung and skin cancer by Beta vulgaris (beet) root extract, Cancer Letters, 100, 1-2, pp. 211-214, (1996); Konoshima, Takao, Anti-tumor promoting activities of isoflavonoids from Wistaria brachybotrys, Biological and Pharmaceutical Bulletin, 20, 8, pp. 865-868, (1997); Tokuda, Harunkuni, Inhibition of 12-O-tetradecanoylphorbol-13-acetate-promoted mouse skin papilloma by saponins, Oncology (Switzerland), 48, 1, pp. 77-80, (1991)","","","","",NA,"",NA,"03043835; 18727980","","CALED",10660083,"English","Article","Final","","Scopus","2-s2.0-0032709708"
"5","Stampoulis, P.; Tezuka, Y.; Banskota, A.H.; Tran, K.Q.; Saiki, I.; Kadota, S.","Stampoulis, Pavlos (6507391650); Tezuka, Yansuhiro (7103073669); Banskota, Arjun Hari (7003673950); Tran, Kim Qui (7102163055); Saiki, Ikuo (57200681839); Kadota, Shigetoshi (35460007900)","6507391650; 7103073669; 7003673950; 7102163055; 57200681839; 35460007900","Staminolactones A and B and norstaminol A: Three highly oxygenated staminane-type diterpenes from Orthosiphon stamineus",1999,"Organic Letters","1","9","","1367","1370",0,33,"10.1021/ol990216+","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033523829&doi=10.1021%2Fol990216%2B&partnerID=40&md5=8d2e4cf23e5ace09f7cf07cf7057cfc1","Institute of Natural Medicine, University of Toyama, Toyama, Japan; Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam","Stampoulis, Pavlos, Institute of Natural Medicine, University of Toyama, Toyama, Japan; Tezuka, Yansuhiro, Institute of Natural Medicine, University of Toyama, Toyama, Japan; Banskota, Arjun Hari, Institute of Natural Medicine, University of Toyama, Toyama, Japan; Tran, Kim Qui, Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam; Saiki, Ikuo, Institute of Natural Medicine, University of Toyama, Toyama, Japan; Kadota, Shigetoshi, Institute of Natural Medicine, University of Toyama, Toyama, Japan","(formula presented) Staminolactones A (1) and B (2) and norstaminol A (3), three highly oxygenated staminane-type diterpenes having mild cytotoxic activities against highly liver-metastatic colon 26-L5 carcinoma cells, were isolated from the aerial part of the Vietnamese medicinal plant Orthosiphon stamineus (Lamiaceae). Their structures were elucidated on the basis of the extensive spectral analyses. © 2020 Elsevier B.V., All rights reserved.","","antineoplastic agent; diterpene; norstaminol A; oxygen; staminolactone A; staminolactone B; angiosperm; article; cell culture; chemical structure; chemistry; colon tumor; liver tumor; metastasis; pathology; spectroscopy; Antineoplastic Agents; Colonic Neoplasms; Diterpenes; Lamiaceae; Liver Neoplasms; Molecular Structure; Oxygen; Spectrum Analysis; Tumor Cells, Cultured","","Antineoplastic Agents, 0; Diterpenes, 0; norstaminol A, 0; Oxygen, 7782-44-7; staminolactone A, 0; staminolactone B, 0","","Sumaryono, Wahono, Qualitative and quantitative analysis of the phenolic constituents from Orthosiphon aristatus, Planta Medica, 57, 2, pp. 176-180, (1991); Medicinal Plants in Vietnam, (1989); Masuda, Toshiya, Orthosiphol A, a highly oxygenated diterpene from the leaves of orthosiphon stamineus, Tetrahedron Letters, 33, 7, pp. 945-946, (1992); Masuda, Toshiya, Orthosiphol A and B, novel diterpenoid inhibitors of TPA (12-O-tetradecanoylphorbol-13-acetate)-induced inflammation, from Orthosiphon stamineus, Tetrahedron, 48, 33, pp. 6787-6792, (1992); Takeda, Yoshio, Orthosiphol D and E, minor diterpenes from Orthosiphon stamineus, Phytochemistry, 33, 2, pp. 411-415, (1993); Banskota, Arjun Hari, Cytotoxic cycloartane-type triterpenes from Combretum quadrangulare, Bioorganic and Medicinal Chemistry Letters, 8, 24, pp. 3519-3524, (1998); Shibuya, Hirotaka, Two novel migrated pimarane-type diterpenes, neoorthosiphols A and B, from the leaves of Orthosiphon aristatus (Lamiaceae), Chemical and Pharmaceutical Bulletin, 47, 6, pp. 911-912, (1999); Stampoulis, Pavlos, Staminol A, a novel diterpene from Orthosiphon stamineus, Tetrahedron Letters, 40, 22, pp. 4239-4242, (1999); 100th Meeting of the Hokuriku Branch of the Pharmaceutical Society of Japan, (1999); Ohnishi, Yasuharu, Characterization of a liver metastatic variant of murine colon 26 carcinoma cells, Tumor Biology, 18, 2, pp. 113-122, (1997)","","American Chemical Society","","",NA,"",NA,"15237060; 15237052","","ORLEF",10825984,"English","Article","Final","","Scopus","2-s2.0-0033523829"
"6","Kim Oanh, N.T.; Bengtsson, B.-E.; Baetz Reutergardh, L.; Hoa, D.T.; Bergqvist, P.-A.; Broman, D.; Zebühr, Y.","Kim Oanh, Nguyen Thi (6603575372); Bengtsson, Bengt Erik (57221405551); Baetz Reutergardh, L. (6507888923); Hoa, D. T. (36957510300); Bergqvist, Per Anders (35428887200); Broman, Dag (7005828357); Zebühr, Yngve U. (7004092144)","6603575372; 57221405551; 6507888923; 36957510300; 35428887200; 7005828357; 7004092144","Persistent organochlorines in the effluents from a chlorine-bleached Kraft integrated pulp and paper mill in southeast Asia",1999,"Archives of Environmental Contamination and Toxicology","37","3","","303","309",0,9,"10.1007/s002449900518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032824995&doi=10.1007%2Fs002449900518&partnerID=40&md5=87aa490935a34a91eb69b389c41f0fdb","Asian Institute of Technology Thailand, Khlong Luang, Thailand; Lab. for Aquatic Environ. Chemistry, Stockholms universitet, Stockholm, Sweden; River Basin Research Centre, Gifu University, Gifu, Japan; Department of Chemistry, Hanoi University of Science and Technology, Hanoi, Viet Nam; Umeå Universitet, Umea, Sweden","Kim Oanh, Nguyen Thi, Asian Institute of Technology Thailand, Khlong Luang, Thailand; Bengtsson, Bengt Erik, Lab. for Aquatic Environ. Chemistry, Stockholms universitet, Stockholm, Sweden; Baetz Reutergardh, L., Lab. for Aquatic Environ. Chemistry, Stockholms universitet, Stockholm, Sweden, River Basin Research Centre, Gifu University, Gifu, Japan; Hoa, D. T., Department of Chemistry, Hanoi University of Science and Technology, Hanoi, Viet Nam; Bergqvist, Per Anders, Umeå Universitet, Umea, Sweden; Broman, Dag, Lab. for Aquatic Environ. Chemistry, Stockholms universitet, Stockholm, Sweden; Zebühr, Yngve U., Lab. for Aquatic Environ. Chemistry, Stockholms universitet, Stockholm, Sweden","A bleached sulfate integrated pulp and paper mill producing printing and writing paper from mixed tropical hardwood and bamboo was studied. The mill uses a 'conventional bleaching sequence,' C-E-H1-H2, with an average molecular chlorine consumption of 50 kg per ton of air-dried pulp (ADP). The content of polychlorinated dibenzofurans (PCDFs) and dibenzo-p-dioxins (PCDDs) in the bleaching filtrate in terms of the nordic toxicity equivalent (N-TEQ) was 33.5, 1.15, 0.56, and 0.014 pg/L for the E, C, H1, and H2 bleaching stages, respectively. The corresponding PCDFs and PCDDs loads in ng/t ADP were in the same ranking, i.e., 670, 69, 11.2, and 0.28, respectively. The congener and isomeric pattern of PCDFs and PCDDs of the bleaching filtrate and the bleached pulp was found to be typical for the chlorine bleaching plant effluent. The obtained dioxin load formed in the mill is in agreement with Western studies for the given multiple chlorine of 0.21-0.23. The load is, however, lower than reported discharges from Scandinavian mills using 1980s bleaching technologies, but substantially higher than the discharges from mills with modem bleaching technologies. Modifications in the bleaching plant to reduce molecular chlorine use are necessary to reduce dioxin formation. © 2009 Elsevier B.V., All rights reserved.","","chlorine; dioxin; organochlorine derivative; polychlorinated dibenzodioxin; polychlorinated dibenzofuran; article; bleaching; ecotoxicity; effluent; paper industry; priority journal; Southeast Asia; water sampling","","chlorine, 13981-72-1, 7782-50-5","","Axegård, Peter, The influence of bleaching chemicals and lignin content on the formation of polychlorinated dioxins and dibenzofurans, Chemosphere, 19, 1-6, pp. 661-668, (1989); Nordic Pulp Paper Res J, (1993); Tappi Journal, (1990); Vanden Heuvel, Jack P., Environmental toxicology of polychlorinated dibenzo-p-dioxins and polychlorinated dibenzofurans, Environmental Health Perspectives, 100, pp. 189-200, (1993); Environmental Fate and Effects of Pulp and Paper Mill Effluents, (1996); Kim Oanh, Nguyen Thi, Levels of contaminants in effluent, sediment, and biota from Bai Bang, a bleached kraft pulp and paper mill in Vietnam, Archives of Environmental Contamination and Toxicology, 29, 4, pp. 506-516, (1995); Kringstad, Knut P., Spent liquors from pulp bleaching, Environmental Science and Technology, 18, 8, (1984); Luthe, Corinne E., Octachlorinated dioxin in pulps and effluents: Where does it come from?, Chemosphere, 32, 12, pp. 2409-2425, (1996); Luthe, Corinne E., The role of dibenzo-p-dioxin and dibenzofuran precursors in the formation of tetrachlorinated dibenzo-p-dioxins/-furans during bleaching, Chemosphere, 32, 5, pp. 881-891, (1996); Rappe, Christoffer, Levels of PCDDs and PCDFs in products and effluent from the Swedish pulp and paper industry and chloralkali process, Chemosphere, 20, 10-12, pp. 1701-1706, (1990)","","","","",NA,"",NA,"14320703; 00904341","","AECTC",NA,"English","Article","Final","","Scopus","2-s2.0-0032824995"
